# clock_read_rcc_3.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  112.6055 MEMR 1ffff704 = 10310710 
  112.9771 REGW 000007c0 = 00000300 
  113.2274 MEMR 40021000 = 00107f83 
  113.7230 MEMW 40021000 = 00000300 
  113.9726 MEMR 40021004 = 00000000 
  114.4686 MEMW 40021004 = 00000000 
  114.7181 MEMR 40021000 = 00107f83 
  115.2138 MEMW 40021000 = 00107f83 
  115.4636 MEMR 40021000 = 00107f83 
  115.9594 MEMW 40021000 = 00107f83 
  116.2090 MEMR 40021004 = 00000000 
  116.7047 MEMW 40021004 = 00000000 
  117.0784 MEMW 40021008 = 009f0000 
  117.3280 MEMR 40023800 = 00002440 
  117.8234 MEMW 40023800 = 00002450 
  118.0729 MEMR 40022000 = 00000000 
  118.5687 MEMW 40022000 = 00000010 
  118.8184 MEMR 40022000 = 00000000 
  119.3144 MEMW 40022000 = 00000001 
  119.5636 MEMR 40021004 = 00000000 
  120.0595 MEMW 40021004 = 00000400 
  120.3088 MEMR 40021004 = 00000400 
  120.8047 MEMW 40021004 = 00000400 
  121.0543 MEMR 40021004 = 00000400 
  121.5499 MEMW 40021004 = 001c0400 
  121.7994 MEMR 40021000 = 00107f83 
  122.2948 MEMW 40021000 = 01107f83 
  122.5442 MEMR 40021000 = 01107f83 
  122.9157 MEMR 40021000 = 03107f83 
  123.2872 MEMR 40021004 = 001c0400 
  123.7828 MEMW 40021004 = 001c0400 
  124.0323 MEMR 40021004 = 001c0400 
  124.5281 MEMW 40021004 = 001c0402 
  124.7776 MEMR 40021004 = 001c040a 
  125.0837 MEMW 40022010 = 00008080 
  125.1780 MEMW 4002200c = 0000b020 
  125.8087 MEMR 1ffff7e0 = ffff0040 
  125.9032 MEMR 1ffff7e8 = 3a6dabcd 
  125.9973 MEMR 1ffff7ec = a282bc48 
  126.0907 MEMR 1ffff7f0 = ffffffff 
  130.7129 MEMR 40021000 = 03107f83 
