# err_wrong_chip.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  111.7033 MEMR 1ffff704 = 10310710 
  112.0750 REGW 000007c0 = 00000300 
  112.3254 MEMR 40021000 = 03107f83 
  112.8212 MEMW 40021000 = 03107f83 
  113.0709 MEMR 40021004 = 001c040a 
  113.5673 MEMW 40021004 = 001c0000 
  113.8168 MEMR 40021000 = 03107f83 
  114.3125 MEMW 40021000 = 001c0000 
  114.5621 MEMR 40021000 = 00107f83 
  115.0581 MEMW 40021000 = 00107f83 
  115.3079 MEMR 40021004 = 001c0000 
  115.8036 MEMW 40021004 = 00000000 
  116.1775 MEMW 40021008 = 009f0000 
  116.4272 MEMR 40023800 = 00002450 
  116.9228 MEMW 40023800 = 00002450 
  117.1724 MEMR 40022000 = 00000001 
  117.6678 MEMW 40022000 = 00000011 
  117.9174 MEMR 40022000 = 00000001 
  118.4134 MEMW 40022000 = 00000001 
  118.6627 MEMR 40021004 = 00000000 
  119.1586 MEMW 40021004 = 00000400 
  119.4080 MEMR 40021004 = 00000400 
  119.9042 MEMW 40021004 = 00000400 
  120.1539 MEMR 40021004 = 00000400 
  120.6498 MEMW 40021004 = 001c0400 
  120.8993 MEMR 40021000 = 00107f83 
  121.3948 MEMW 40021000 = 01107f83 
  121.6444 MEMR 40021000 = 01107f83 
  122.0160 MEMR 40021000 = 03107f83 
  122.3875 MEMR 40021004 = 001c0400 
  122.8833 MEMW 40021004 = 001c0400 
  123.1328 MEMR 40021004 = 001c0400 
  123.6288 MEMW 40021004 = 001c0402 
  123.8784 MEMR 40021004 = 001c040a 
  124.1845 MEMW 40022010 = 00008080 
  124.2791 MEMW 4002200c = 0000b020 
