# option_get_after_reset.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  109.6048 MEMR 1ffff704 = 10310710 
  109.9765 REGW 000007c0 = 00000300 
  110.2270 MEMR 40021000 = 00107f83 
  110.7227 MEMW 40021000 = 00107f83 
  110.9723 MEMR 40021004 = 00000000 
  111.4685 MEMW 40021004 = 00000000 
  111.7180 MEMR 40021000 = 00107f83 
  112.2141 MEMW 40021000 = 00107f83 
  112.4639 MEMR 40021000 = 00107f83 
  112.9601 MEMW 40021000 = 00107f83 
  113.2099 MEMR 40021004 = 00000000 
  113.7058 MEMW 40021004 = 00000000 
  114.0796 MEMW 40021008 = 009f0000 
  114.3293 MEMR 40023800 = 00002440 
  114.8248 MEMW 40023800 = 00002450 
  115.0743 MEMR 40022000 = 00000000 
  115.5703 MEMW 40022000 = 00000010 
  115.8201 MEMR 40022000 = 00000000 
  116.3162 MEMW 40022000 = 00000001 
  116.5654 MEMR 40021004 = 00000000 
  117.0613 MEMW 40021004 = 00000400 
  117.3107 MEMR 40021004 = 00000400 
  117.8071 MEMW 40021004 = 00000400 
  118.0568 MEMR 40021004 = 00000400 
  118.5526 MEMW 40021004 = 001c0400 
  118.8022 MEMR 40021000 = 00107f83 
  119.2977 MEMW 40021000 = 01107f83 
  119.5473 MEMR 40021000 = 01107f83 
  119.9191 MEMR 40021000 = 03107f83 
  120.2907 MEMR 40021004 = 001c0400 
  120.7865 MEMW 40021004 = 001c0400 
  121.0359 MEMR 40021004 = 001c0400 
  121.5317 MEMW 40021004 = 001c0402 
  121.7813 MEMR 40021004 = 001c040a 
  122.0877 MEMW 40022010 = 00008080 
  122.1821 MEMW 4002200c = 0000b020 
  122.7735 MEMR 1ffff7e0 = ffff0040 
  122.8678 MEMR 1ffff7e8 = 3a6dabcd 
  122.9603 MEMR 1ffff7ec = a282bc48 
  123.0548 MEMR 1ffff7f0 = ffffffff 
  153.3732 REGW 00001005 = 0000b020 postexec
