# speed_medium_target_info.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  110.0276 MEMR 1ffff704 = 10310710 
  110.3994 REGW 000007c0 = 00000300 
  110.6499 MEMR 40021000 = 03107f83 
  111.1459 MEMW 40021000 = 03107f83 
  111.3956 MEMR 40021004 = 001c040a 
  111.8920 MEMW 40021004 = 001c0000 
  112.1416 MEMR 40021000 = 03107f83 
  112.6372 MEMW 40021000 = 02107f83 
  112.8867 MEMR 40021000 = 00107f83 
  113.3827 MEMW 40021000 = 00107f83 
  113.6324 MEMR 40021004 = 001c0000 
  114.1282 MEMW 40021004 = 00000000 
  114.5023 MEMW 40021008 = 009f0000 
  114.7520 MEMR 40023800 = 00002450 
  115.2476 MEMW 40023800 = 00002450 
  115.4972 MEMR 40022000 = 00000001 
  115.9928 MEMW 40022000 = 00000011 
  116.2423 MEMR 40022000 = 00000001 
  116.7383 MEMW 40022000 = 00000001 
  116.9875 MEMR 40021004 = 00000000 
  117.4833 MEMW 40021004 = 00000400 
  117.7328 MEMR 40021004 = 00000400 
  118.2289 MEMW 40021004 = 00000400 
  118.4785 MEMR 40021004 = 00000400 
  118.9743 MEMW 40021004 = 001c0400 
  119.2239 MEMR 40021000 = 00107f83 
  119.7194 MEMW 40021000 = 01107f83 
  119.9690 MEMR 40021000 = 01107f83 
  120.3406 MEMR 40021000 = 03107f83 
  120.7121 MEMR 40021004 = 001c0400 
  121.2078 MEMW 40021004 = 001c0400 
  121.4572 MEMR 40021004 = 001c0400 
  121.9530 MEMW 40021004 = 001c0402 
  122.2026 MEMR 40021004 = 001c040a 
  122.5849 MEMW 40022010 = 00008080 
  122.7911 MEMW 4002200c = 0000b020 
  123.5856 MEMR 1ffff7e0 = ? 
  123.8451 MEMR 1ffff7e8 = ? 
  124.1046 MEMR 1ffff7ec = ? 
  124.3637 MEMR 1ffff7f0 = ffffffff 
