# monitor_dmdata.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  107.2445 MEMR 1ffff704 = 10310710 
  107.6162 REGW 000007c0 = 00000300 
  107.8666 MEMR 40021000 = 00107f83 
  108.3621 MEMW 40021000 = 00107f83 
  108.6117 MEMR 40021004 = 00000000 
  109.1078 MEMW 40021004 = 00000000 
  109.8530 MEMW 40021000 = 00107f83 
  110.5984 MEMW 40021000 = 00107f83 
  110.8480 MEMR 40021004 = 00000000 
  111.3437 MEMW 40021004 = 00000000 
  111.7174 MEMW 40021008 = 009f0000 
  111.9671 MEMR 40023800 = 00002440 
  112.4626 MEMW 40023800 = 00002450 
  112.7120 MEMR 40022000 = 00000000 
  113.2079 MEMW 40022000 = 00000010 
  113.4576 MEMR 40022000 = ? 
  113.9536 MEMW 40022000 = 00000001 
  114.2029 MEMR 40021004 = 00000000 
  114.6987 MEMW 40021004 = 00000400 
  114.9480 MEMR 40021004 = 00000400 
  115.4440 MEMW 40021004 = 00000400 
  115.6936 MEMR 40021004 = ? 
  116.1893 MEMW 40021004 = 001c0400 
  116.4388 MEMR 40021000 = 00107f83 
  116.9342 MEMW 40021000 = 01107f83 
  117.1837 MEMR 40021000 = ? 
  117.5552 MEMR 40021000 = 03107f83 
  117.9266 MEMR 40021004 = 001c0400 
  118.4224 MEMW 40021004 = 001c0400 
  118.6718 MEMR 40021004 = ? 
  119.1676 MEMW 40021004 = 001c0402 
  119.4171 MEMR 40021004 = ? 
  119.7232 MEMW 40021004 = 001c0402 
  120.3108 MEMR 40021004 = 3a6dabcd 
