# monitor_dmseq.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  114.4656 MEMR 1ffff704 = 10310710 
  114.8374 REGW 000007c0 = 00000300 
  115.0879 MEMR 40021000 = 00107f83 
  115.5838 MEMW 40021000 = 00107f83 
  115.8334 MEMR 40021004 = ? 
  116.3296 MEMW 40021004 = 00000000 
  116.5791 MEMR 40021000 = 00107f83 
  117.0751 MEMW 40021000 = 00107f83 
  117.3249 MEMR 40021000 = ? 
  117.8208 MEMW 40021000 = 00107f83 
  118.0705 MEMR 40021004 = 00000000 
  118.5664 MEMW 40021004 = 00000000 
  118.9405 MEMW 40021008 = 009f0000 
  119.1903 MEMR 40023800 = 00002440 
  119.6860 MEMW 40023800 = 00002450 
  119.9355 MEMR 40022000 = 00000000 
  120.4314 MEMW 40022000 = 00000010 
  120.6812 MEMR 40022000 = 00000000 
  121.1773 MEMW 40022000 = 00000001 
  121.4266 MEMR 40021004 = 00000000 
  121.9224 MEMW 40021004 = 00000400 
  122.1718 MEMR 40021004 = 00000400 
  122.6679 MEMW 40021004 = 00000400 
  122.9175 MEMR 40021004 = 00000400 
  123.4132 MEMW 40021004 = 001c0400 
  123.6628 MEMR 40021000 = 00107f83 
  124.1583 MEMW 40021000 = 01107f83 
  124.4078 MEMR 40021000 = 01107f83 
  124.7794 MEMR 40021000 = 03107f83 
  125.1508 MEMR 40021004 = 001c0400 
  125.6465 MEMW 40021004 = 001c0400 
  125.8959 MEMR 40021004 = 001c0400 
  126.3918 MEMW 40021004 = 001c0402 
  126.6413 MEMR 40021004 = 001c040a 
