# redo_monitor_sdi_off.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  110.1228 MEMR 1ffff704 = 10310710 
  110.4947 REGW 000007c0 = 00000300 
  110.7451 MEMR 40021000 = 03107f83 
  111.2408 MEMW 40021000 = 03107f83 
  111.4905 MEMR 40021004 = 001c040a 
  111.9871 MEMW 40021004 = 001c0000 
  112.2367 MEMR 40021000 = 03107f83 
  112.7324 MEMW 40021000 = 02107f83 
  112.9819 MEMR 40021000 = 00107f83 
  113.4780 MEMW 40021000 = 00107f83 
  113.7276 MEMR 40021004 = 001c0000 
  114.2234 MEMW 40021004 = 00000000 
  114.5974 MEMW 40021008 = 009f0000 
  114.8471 MEMR 40023800 = 00002450 
  115.3427 MEMW 40023800 = 00002450 
  115.5922 MEMR 40022000 = 00000001 
  116.0877 MEMW 40022000 = 00000011 
  116.3372 MEMR 40022000 = 00000001 
  116.8333 MEMW 40022000 = 00000001 
  117.0826 MEMR 40021004 = 00000000 
  117.5784 MEMW 40021004 = 00000400 
  117.8277 MEMR 40021004 = 00000400 
  118.3238 MEMW 40021004 = 00000400 
  118.5734 MEMR 40021004 = 00000400 
  119.0691 MEMW 40021004 = 001c0400 
  119.3186 MEMR 40021000 = 00107f83 
  119.8140 MEMW 40021000 = 01107f83 
  120.0635 MEMR 40021000 = 01107f83 
  120.4350 MEMR 40021000 = 03107f83 
  120.8065 MEMR 40021004 = 001c0400 
  121.3022 MEMW 40021004 = 001c0400 
  121.5516 MEMR 40021004 = 001c0400 
  122.0474 MEMW 40021004 = 001c0402 
  122.2969 MEMR 40021004 = 001c040a 
  122.6042 MEMW 40022010 = 00008080 
  122.6987 MEMW 4002200c = 0000b020 
