# redo_monitor_sdi_on.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  111.6595 MEMR 1ffff704 = 10310710 
  112.0314 REGW 000007c0 = 00000300 
  112.2819 MEMR 40021000 = 00107f83 
  112.7780 MEMW 40021000 = 00107f83 
  113.0279 MEMR 40021004 = 00000000 
  113.5243 MEMW 40021004 = 00000000 
  113.7739 MEMR 40021004 = 00107f83 
  114.2700 MEMW 40021000 = 00107f83 
  114.5198 MEMR 40021000 = 00107f83 
  115.0158 MEMW 40021000 = 00107f83 
  115.2654 MEMR 40021004 = 00000000 
  115.7613 MEMW 40021004 = 00000000 
  116.1351 MEMW 40021008 = 009f0000 
  116.3847 MEMR 40023800 = 00002440 
  116.8803 MEMW 40023800 = 00002450 
  117.1299 MEMR 40022000 = 00000000 
  117.6261 MEMW 40022000 = 00000010 
  117.8761 MEMR 40022000 = 00000000 
  118.3726 MEMW 40022000 = 00000001 
  118.6219 MEMR 40021004 = 00000000 
  119.1177 MEMW 40021004 = 00000400 
  119.3671 MEMR 40021004 = 00000400 
  119.8633 MEMW 40021004 = 00000400 
  120.1130 MEMR 40021004 = 00000400 
  120.6087 MEMW 40021004 = 001c0400 
  120.8583 MEMR 40021000 = 00107f83 
  121.3537 MEMW 40021000 = 01107f83 
  121.6032 MEMR 40021000 = 01107f83 
  121.9747 MEMR 40021000 = 03107f83 
  122.3462 MEMR 40021004 = 001c0400 
  122.8419 MEMW 40021004 = 001c0400 
  123.0913 MEMR 40021004 = 001c0400 
  123.5871 MEMW 40021004 = 001c0402 
  123.8366 MEMR 40021004 = 001c040a 
  124.1428 MEMW 40022010 = 00008080 
  124.2371 MEMW 4002200c = 0000b020 
