# redo_recover_power_off.sr: DMI transactions decoded from the wire (t in ms from capture start)
   68.5726 W dmcontrol    80000001 st=00
   68.6972 W dmcontrol    80000001 st=01
   68.8150 R dmstatus     00000382 st=01
   68.9443 W data1        40022010 st=00
   69.0691 W data0        00008080 st=00
   69.1938 W command      02210000 st=01
   69.3187 W data1        4002200c st=01
   69.4434 W data0        0000b020 st=01
   69.5681 W command      02210000 st=00
   69.6933 W data1        40022004 st=00
   69.8178 W data0        45670123 st=01
   69.9422 W command      02210000 st=00
   70.0671 W data1        40022004 st=00
   70.1917 W data0        cdef89ab st=01
   70.3162 W command      02210000 st=01
   70.4411 W data1        40022024 st=00
   70.5656 W data0        45670123 st=01
   70.6901 W command      02210000 st=00
   70.8150 W data1        40022024 st=00
   70.9397 W data0        cdef89ab st=01
   71.0641 W command      02210000 st=00
   71.1889 W data1        40022010 st=01
   71.3136 W command      02200000 st=00
   71.4314 R data0        00000000 st=01
   71.5603 W data1        40022010 st=01
   71.6848 W data0        00000004 st=01
   71.8094 W command      02210000 st=00
   71.9343 W data1        40022010 st=00
   72.0590 W command      02200000 st=00
   72.1767 R data0        00000004 st=01
   72.3058 W data1        40022010 st=00
   72.4303 W data0        00000044 st=00
   72.5548 W command      02210000 st=00
   72.6798 W data1        4002200c st=01
   72.8044 W command      02200000 st=00
   72.9222 R data0        00000001 st=01
   73.0512 W data1        4002200c st=00
   73.1756 W command      02200000 st=01
   73.2934 R data0        00000001 st=00
   73.4224 W data1        4002200c st=01
   73.5468 W command      02200000 st=00
   73.6687 R data0        00000001 st=01
   73.7936 W data1        4002200c st=00
   73.9180 W command      02200000 st=00
   74.0358 R data0        00000001 st=00
   74.1649 W data1        4002200c st=01
   74.2893 W command      02200000 st=01
   74.4070 R data0        00000001 st=01
   74.5361 W data1        4002200c st=00
   74.6605 W command      02200000 st=01
   74.7782 R data0        00000001 st=01
   74.9073 W data1        4002200c st=01
   75.0324 W command      02200000 st=00
   75.1500 R data0        00000001 st=01
   75.2790 W data1        4002200c st=00
   75.4036 W command      02200000 st=01
   75.5211 R data0        00000001 st=01
   75.6501 W data1        4002200c st=01
   75.7746 W command      02200000 st=01
   75.8922 R data0        00000001 st=00
   76.0213 W data1        4002200c st=00
   76.1459 W command      02200000 st=01
   76.2634 R data0        00000001 st=01
   76.3925 W data1        4002200c st=01
   76.5170 W command      02200000 st=00
   76.6345 R data0        00000001 st=01
   76.7635 W data1        4002200c st=00
   76.8880 W command      02200000 st=01
   77.0055 R data0        00000001 st=01
   77.1346 W data1        4002200c st=00
   77.2591 W command      02200000 st=01
   77.3766 R data0        00000001 st=01
   77.5057 W data1        4002200c st=00
   77.6302 W command      02200000 st=00
   77.7477 R data0        00000001 st=01
   77.8768 W data1        4002200c st=01
   78.0013 W command      02200000 st=01
   78.1188 R data0        00000001 st=01
   78.2479 W data1        4002200c st=01
   78.3724 W command      02200000 st=00
   78.4899 R data0        00000001 st=01
   78.6190 W data1        4002200c st=01
   78.7435 W command      02200000 st=00
   78.8610 R data0        00000001 st=01
   78.9901 W data1        4002200c st=01
   79.1147 W command      02200000 st=00
   79.2322 R data0        00000001 st=01
   79.3613 W data1        4002200c st=00
   79.4859 W command      02200000 st=01
   79.6035 R data0        00000001 st=01
   79.7327 W data1        4002200c st=00
   79.8573 W command      02200000 st=01
   79.9749 R data0        00000001 st=01
   80.1040 W data1        4002200c st=01
   80.2285 W command      02200000 st=00
   80.3460 R data0        00000001 st=01
   80.4751 W data1        4002200c st=00
   80.5997 W command      02200000 st=01
   80.7172 R data0        00000001 st=01
   80.8463 W data1        4002200c st=00
   80.9708 W command      02200000 st=01
   81.0883 R data0        00000001 st=01
   81.2174 W data1        4002200c st=01
   81.3419 W command      02200000 st=00
   81.4594 R data0        00000001 st=01
   81.5886 W data1        4002200c st=01
   81.7132 W command      02200000 st=01
   81.8307 R data0        00000001 st=01
   81.9597 W data1        4002200c st=01
