# dbg_halt.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  111.1901 MEMR 1ffff704 = 10310710 
  111.5615 REGW 000007c0 = 00000300 
  111.8118 MEMR 40021000 = 00107f83 
  112.3074 MEMW 40021000 = 00107f83 
  112.5571 MEMR 40021004 = 00000000 
  113.0532 MEMW 40021004 = 00000000 
  113.3026 MEMR 40021000 = 00107f83 
  113.7983 MEMW 40021000 = 00107f83 
  114.0480 MEMR 40021000 = 00107f83 
  114.5437 MEMW 40021000 = 00107f83 
  114.7934 MEMR 40021004 = 00000000 
  115.2893 MEMW 40021004 = 00000000 
  115.6630 MEMW 40021008 = 009f0000 
  115.9126 MEMR 40023800 = ? 
  116.4083 MEMW 40023800 = 000024d0 
  116.6582 MEMR 40022000 = 00000000 
  117.1542 MEMW 40022000 = 00000010 
  117.4039 MEMR 40022000 = 00000000 
  117.8999 MEMW 40022000 = 00000001 
  118.1491 MEMR 40021004 = 00000000 
  118.6448 MEMW 40021004 = 00000400 
  118.8941 MEMR 40021004 = 00000400 
  119.3901 MEMW 40021004 = 00000400 
  119.6396 MEMR 40021004 = 00000400 
  120.1352 MEMW 40021004 = 001c0400 
  120.3847 MEMR 40021000 = 00107f83 
  120.8803 MEMW 40021000 = 01107f83 
  121.1299 MEMR 40021000 = 01107f83 
  121.5015 MEMR 40021000 = 03107f83 
  121.8729 MEMR 40021004 = 001c0400 
  122.3685 MEMW 40021004 = 001c0400 
  122.6178 MEMR 40021004 = 001c0400 
  123.1135 MEMW 40021004 = 001c0402 
  123.3629 MEMR 40021004 = 001c040a 
  123.6691 MEMW 40022010 = 00008080 
  123.7635 MEMW 4002200c = 0000b020 
  124.6780 MEMR 1ffff7e0 = ffff0040 
  124.7728 MEMR 1ffff7e8 = 3a6dabcd 
  124.8674 MEMR 1ffff7ec = a282bc48 
  124.9621 MEMR 1ffff7f0 = ffffffff 
