# dbg_step.sr: abstract-command memory / register accesses (addr from data1, value via data0)
  109.4204 MEMR 1ffff704 = 10310710 
  109.7920 REGW 000007c0 = 00000300 
  110.0424 MEMR 40021000 = 00107f83 
  110.5381 MEMW 40021000 = 00107f83 
  110.7878 MEMR 40021004 = 00000000 
  111.2843 MEMW 40021004 = 00000000 
  111.5338 MEMR 40021000 = 00107f83 
  112.0299 MEMW 40021000 = 00107f83 
  112.2798 MEMR 40021000 = 00107f83 
  112.7760 MEMW 40021000 = 00107f83 
  113.0256 MEMR 40021004 = 00000000 
  113.5216 MEMW 40021004 = 00000000 
  113.8955 MEMW 40021008 = 009f0000 
  114.1453 MEMR 40023800 = 000024c0 
  114.6412 MEMW 40023800 = 009f0000 
  114.8910 MEMR 40022000 = 00000000 
  115.3871 MEMW 40022000 = 00000010 
  115.6369 MEMR 40022000 = 00000000 
  116.1330 MEMW 40022000 = 00000001 
  116.3822 MEMR 40021004 = 00000000 
  116.8781 MEMW 40021004 = 00000400 
  117.1275 MEMR 40021004 = 00000400 
  117.6237 MEMW 40021004 = 00000400 
  117.8733 MEMR 40021004 = 00000400 
  118.3691 MEMW 40021004 = 001c0400 
  118.6186 MEMR 40021000 = 00107f83 
  119.1141 MEMW 40021000 = 01107f83 
  119.3637 MEMR 40021000 = 01107f83 
  119.7355 MEMR 40021000 = 03107f83 
  120.1072 MEMR 40021004 = 001c0400 
  120.6032 MEMW 40021004 = 001c0400 
  120.8527 MEMR 40021004 = 001c0400 
  121.3486 MEMW 40021004 = 001c0402 
  121.5981 MEMR 40021004 = 001c040a 
  121.9043 MEMW 40022010 = 00008080 
  121.9987 MEMW 4002200c = 0000b020 
  122.8628 MEMR 1ffff7e0 = ffff0040 
  122.9563 MEMR 1ffff7e8 = 3a6dabcd 
  123.0503 MEMR 1ffff7ec = a282bc48 
  123.1451 MEMR 1ffff7f0 = ffffffff 
