project_id,config,bytes,delta_vs_baseline,budget_bytes,over_budget,overflows,toolchain,#,confidence,basis
oss-rv003usb-bl,baseline,1896,0,1916,-20,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,PWR,1904,8,1916,-12,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,USB0,1900,4,1916,-16,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,USBN,1908,12,1916,-8,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,BTN,1904,8,1916,-12,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,BTN PULL,1908,12,1916,-8,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,BTN SOFT,1916,20,1916,0,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,BTN PULL SOFT,1920,24,1916,4,1,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,KEEP,1904,8,1916,-12,0,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
oss-rv003usb-bl,PWR USB0,1924,28,1916,8,1,riscv-none-elf-gcc 14.3.0 (xpack) / -Os -flto / -march=rv32ec -mabi=ilp32e,#,verified,measured:2026-09-06 ch32fun は fork の submodule が未チェックアウトのため cnlohr/ch32fun HEAD で代替。**絶対値は upstream と一致しない可能性がある。差分(delta)は同一条件なので頑健**
