project_id,file,line,name,value_expr,value_num,category,#,confidence,basis
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.c,26,isp_cmd_t,((isp_cmd  *)EP2_Rx_Buffer),,misc,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.c(L26)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,18,USBD_DATA_SIZE,64,64,size,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L18)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,19,FLASH_Base,0x08000000,134217728,address,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L19)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,21,Uart_Sync_Head1,0xaa,170,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L21)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,22,Uart_Sync_Head2,0x55,85,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L22)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,24,CMD_IAP_PROM,0x80,128,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L24)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,25,CMD_IAP_ERASE,0x81,129,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L25)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,26,CMD_IAP_VERIFY,0x82,130,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L26)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,27,CMD_IAP_END,0x83,131,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L27)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,28,CMD_JUMP_IAP,0x84,132,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L28)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,30,ERR_SUCCESS,0x00,0,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L30)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,31,ERR_ERROR,0x01,1,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L31)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,32,ERR_End,0x02,2,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L32)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,34,CalAddr,(0x08004000-4),134234108,address,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L34)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,35,CheckNum,(0x5aa55aa5),1520786085,address,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L35)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c,32,UPGRADE_MODE_COMMAND,0,0,misc,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c(L32)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c,33,UPGRADE_MODE_IO,1,1,misc,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c(L33)
evt-v003-iap,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c,35,UPGRADE_MODE,UPGRADE_MODE_COMMAND,,misc,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c(L35)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.c,26,isp_cmd_t,((isp_cmd  *)EP2_Rx_Buffer),,misc,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.c(L26)
evt-v003-app,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h,18,USBD_DATA_SIZE,64,64,size,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/iap.h(L18)
