project_id,series,mechanism,blank_pattern,polarity,marker_addr,marker_value,flash_base,gpio_pin,exit_method,deinit_steps,watchdog,source_file,source_line,#,confidence,basis
evt-v003-iap,CH32V003,app-present-marker,0xFFFFFFFF,==,(0x08004000-4),(0x5aa55aa5),0x08000000,PC0,boot-mode-register+reset,,0,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c,64,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c(L64)
evt-v00x-iap,CH32V00X,app-present-marker,0xFFFFFFFF,==,(0x08004000-4),(0x5aa55aa5),0x08000000,PC0,boot-mode-register+reset,,0,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c,63,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/main.c(L63)
evt-v103-iap,CH32V103,app-present-marker,,,,,,PA0,software-irq,"NVIC_DisableIRQ( USBFS_IRQn );USART_DeInit(USART3);RCC_APB2PeriphClockCmd(RCC_APB2Periph_GPIOA, DISABLE);RCC_APB2PeriphClockCmd( RCC_APB2Periph_GPIOB,DISABLE);RCC_APB1PeriphClockCmd(RCC_APB1Periph_USART3,DISABLE)",0,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c,,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/main.c
evt-v205-iap,CH32V205,app-present-marker,0xFFFFFFFF,!=,(0x08040000-4),(0x5aa55aa5),0x08005000,PA0,software-irq,"USB_Init(DISABLE);RCC_PB2PeriphClockCmd( RCC_PB2Periph_AFIO, DISABLE );RCC_HBPeriphClockCmd( RCC_HBPeriph_USBFS, DISABLE );RCC_HBPeriphClockCmd( RCC_HBPeriph_USBHS, DISABLE );RCC_PB1PeriphClockCmd(RCC_PB1Periph_USART2,DISABLE)",0,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/main.c,71,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/main.c(L71)
evt-v20x-iap,CH32V20x,app-present-marker,0xe339e339,!=,(0x08038000-4),(0x5aa55aa5),0x08005000,PA0,software-irq,"USB_Port_Set(DISABLE, DISABLE);GPIO_DeInit(GPIOA);GPIO_DeInit(GPIOB);USART_DeInit(USART3);NVIC_DisableIRQ( USBFS_IRQn );RCC_APB2PeriphClockCmd( RCC_APB2Periph_GPIOB, DISABLE);RCC_APB2PeriphClockCmd(RCC_APB2Periph_GPIOA, DISABLE);RCC_APB1PeriphClockCmd(RCC_APB1Periph_USART3,DISABLE);RCC_AHBPeriphClockCmd( RCC_AHBPeriph_USBFS, DISABLE );RCC_APB1PeriphClockCmd(RCC_APB1Periph_USB, DISABLE);USB_Port_Se",0,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/main.c,81,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/main.c(L81)
evt-v30x-iap,CH32V30x,app-present-marker,0xe339e339,!=,(0x08078000-4),(0x5aa55aa5),0x08005000,PA0,software-irq,"USBHS_Device_Init( DISABLE );NVIC_DisableIRQ( USBHS_IRQn );GPIO_DeInit(GPIOA);USART_DeInit(USART3);RCC_APB2PeriphClockCmd(RCC_APB2Periph_GPIOA, DISABLE);RCC_APB2PeriphClockCmd( RCC_APB2Periph_GPIOB,DISABLE);RCC_APB1PeriphClockCmd(RCC_APB1Periph_USART3,DISABLE);RCC_AHBPeriphClockCmd(RCC_AHBPeriph_USBHS, DISABLE);RCC_AHBPeriphClockCmd(RCC_AHBPeriph_USBFS, DISABLE);NVIC_DisableIRQ(USBFS_IRQn)",1,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/main.c,84,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/main.c(L84)
evt-v407-iap,CH32V407,app-present-marker,0xe339e339,!=,(0x080F8000-4),(0x5aa55aa5),0x08005000,PA0,software-irq,"USB_Init(DISABLE);GPIO_DeInit(GPIOA);USART_DeInit(USART3);RCC_PB2PeriphClockCmd(RCC_PB2Periph_GPIOA, DISABLE);RCC_PB2PeriphClockCmd( RCC_PB2Periph_GPIOB,DISABLE);RCC_PB1PeriphClockCmd(RCC_PB1Periph_USART2,DISABLE)",1,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/main.c,76,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/main.c(L76)
evt-x035-iap,CH32X035,app-present-marker,0xFFFFFFFF,!=,(0x0800F800-4),(0x5aa55aa5),0x08005000,PA0,software-irq,"USBFS_Device_Init(DISABLE,PWR_VDD_SupplyVoltage();RCC_APB2PeriphClockCmd( RCC_APB2Periph_AFIO, DISABLE );RCC_AHBPeriphClockCmd( RCC_AHBPeriph_USBFS, DISABLE );RCC_APB1PeriphClockCmd(RCC_APB1Periph_USART2,DISABLE)",0,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/main.c,68,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/main.c(L68)
evt-x315-iap,CH32X315,app-present-marker,0xe339e339,!=,(0x08038000-4),(0x5aa55aa5),0x08005000,PA0,software-irq,"USB_Init(DISABLE);GPIO_DeInit(GPIOA);USART_DeInit(USART2);RCC_HB2PeriphClockCmd(RCC_HB2Periph_GPIOA, DISABLE);RCC_HB1PeriphClockCmd(RCC_HB1Periph_USART2,DISABLE)",1,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/main.c,74,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/User/main.c(L74)
evt-l103-iap,CH32L103,app-present-marker,0xFFFFFFFF,!=,(0x08010000-4),(0x5aa55aa5),0x08005000,PA0,software-irq,"USBFS_Device_Init(DISABLE);RCC_PB2PeriphClockCmd( RCC_PB2Periph_AFIO, DISABLE );RCC_HBPeriphClockCmd( RCC_HBPeriph_USBFS, DISABLE );RCC_PB1PeriphClockCmd(RCC_PB1Periph_USART2,DISABLE)",0,CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/main.c,68,#,single-source,evt:CH32L103/EVT/EXAM/IAP/USB_UART/CH32L103_IAP/User/main.c(L68)
