project_id,repo,path,bytes,lines,sha256,role,#,confidence,basis
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Ld/Link.ld,4075,176,21de288882a7bbaaf98405b11bc6e1460eb0364d9446c0eb272385a9fd4e6aef,linker,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Ld/Link.ld
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Startup/startup_ch32v00x.S,2224,95,3cdf5f3611232a3bd2761fb3884e6fa09ea6030bc88c85044ed648885990ffba,startup,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Startup/startup_ch32v00x.S
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/ch32v00x_conf.h,1221,41,806c6eaef25b9d1e8169c1324dbfbc6c6de99bd690510e5f5e283b11a2171941,support,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/ch32v00x_conf.h
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/ch32v00x_it.c,1341,47,343bf3d6cfc1f9caf335c4f295628d0e0b36f1ebe17decfd041006bcd1f0ca5f,support,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/ch32v00x_it.c
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/ch32v00x_it.h,762,21,7be5478c24f4ba6ec6b7eae7f259a3fc425931ac264b8cc5276f934be6fc45c4,support,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/ch32v00x_it.h
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,1771,53,786547e0e06b821663d3edbb1b6ae63a1b43c937714419edb703a75f4bad33f7,flash,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.h,743,21,0069e5fca16cb04bb878a1e83044214883f1d962dac21488fe71b7a78c3b08c8,flash,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.h
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.c,8559,302,a23f3f4e8a35cffd90420d1e0e52b7cf30cdf69e5089a3211e0970be996e54bb,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.c
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,1562,64,f5770c6238869d48926fd29fed8499421f105f34404b8d999d7deb20c796ae89,protocol,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c,2939,96,628bf190db9cff159110f3ec6ea83c9ed059c9261553e62786fe74796376b15d,entry,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/system_ch32v00x.c,13373,454,25329faf5f9519fa979520c62cc0d15afbb44594d8fb23eaacc41fb75d6e28d0,startup,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/system_ch32v00x.c
evt-v003-iap,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/system_ch32v00x.h,1053,33,dce30e6b3b2b4bf17c3f3493a4642ba699de0e6798e17727c8de9de61d59b249,startup,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/system_ch32v00x.h
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/ch32v00x_conf.h,1221,41,806c6eaef25b9d1e8169c1324dbfbc6c6de99bd690510e5f5e283b11a2171941,support,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/ch32v00x_conf.h
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/ch32v00x_it.c,1341,47,d655c183a7f5d04abc31dbf71fe32d619386e93312c7c3a803c76901994c0411,support,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/ch32v00x_it.c
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/ch32v00x_it.h,762,21,7be5478c24f4ba6ec6b7eae7f259a3fc425931ac264b8cc5276f934be6fc45c4,support,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/ch32v00x_it.h
evt-v003-app,CH32V003,CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/flash.c,1771,53,786547e0e06b821663d3edbb1b6ae63a1b43c937714419edb703a75f4bad33f7,flash,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/User/flash.c
