finding_id,axis,claim,scope,evidence_refs,counterexample,#,confidence,basis
F01,A/H,EVT IAP の command 定数は 13 project 全部で完全一致(PROM 0x80 / ERASE 0x81 / VERIFY 0x82 / END 0x83 / JUMP 0x84、ERR 0x00/0x01/0x02、CheckNum 0x5aa55aa5、USBD_DATA_SIZE 64),evt-iap 13,protocol.csv;constants.csv,CMD_JUMP_IAP のみ 12(V103 に無い),#,attested,survey:P1-P4
F02,A/H,"8 project 以上に現れる #define のうち 13 個が全 project 同一値、割れるのは 5 個だけ(CalAddr 7 通り / FLASH_Base 3 通り / isp_cmd_t 2 通り / Uart_Sync_Head1,2 各 2 通り)",evt-iap 13,constants.csv,,#,attested,survey:P1-P4
F03,A,"CH32V103 のみ完全に別世代。sync head 0x57,0xab(他は 0xaa,0x55)、CMD_JUMP_IAP 無し、ERR_SCUESS(綴り)、CalAddr/FLASH_Base/CheckNum 無し、entry は GPIO のみ。doc_date 2020/12/16 で他より 4 年以上古い",evt-v103-iap,protocol.csv;entry_exit.csv;projects.csv,,#,attested,survey:P1-P4
F04,-,"**設計クラスタは series 名と一致しない**。(blank,polarity,exit,program API) で分類すると 7 群: {v003}{v00x}{v103}{v205,l103}{v20x,v30x,h417-v3f,h417-v5f}{v407,x315}{x035,m030}",evt-iap 13,entry_exit.csv;flash_ops.csv,,#,attested,survey:P1-P4
F05,-,10 属性で比較して **v205↔l103 / v407↔x315 / h417-v3f↔h417-v5f が 10/10 完全一致**、v20x↔v30x は 9/10(差は VID のみ)。v407 と x315 は doc_date も同じ 2025/12/01,evt-iap 13,entry_exit.csv;usb.csv;flash_ops.csv;clock_uart.csv;projects.csv,,#,attested,survey:P1-P4
F06,F,APP 存在判定の blank pattern 2 系統(0xFFFFFFFF / 0xe339e339)は **series 系譜ではなく flash のハードウェア特性**。RM に明文があり(系統 B = V20x/V30x/V407/X315/H417、系統 A = V006/V205/X035/L103/M030)、**EVT IAP の判定値と 10/10 一致**する。WCH は各 series で正しく書き分けている,evt-iap 12,entry_exit.csv;ch32-device-data:evidence/flash_geometry.csv;rm,V003 と V103 は RM に明文なし(V003 は IAP が 0xFFFFFFFF、V103 は blank 判定を持たない),#,attested,survey:P1-P4
F07,F,CalAddr 判定の極性が反転: v003/v00x のみ `== CheckNum` で APP へ、他 10 は `!= CheckNum` で APP へ。**同じ定数で意味が逆**,evt-iap 12,entry_exit.csv,,#,attested,survey:P1-P4
F08,F,APP への抜け方が 2 系統: v003/v00x は BOOT_MODEKEYR 解錠 + FLASH_STATR bit14 クリア + system reset、他 11 は Software_IRQn を pending にするだけ,evt-iap 13,entry_exit.csv,,#,attested,survey:P1-P4
F09,C,"flash program API が 4 系統: inline CTLR 直叩き(v003)/ FLASH_ROM_WRITE(v00x,v205,v407,x315,l103)/ FLASH_ProgramPage_Fast(adr,buf)(v20x,v30x,h417)/ FLASH_BufLoad+FLASH_ProgramPage_Fast(adr)(v103,x035,m030)",evt-iap 13,flash_ops.csv,,#,attested,survey:P1-P4
F10,C,"erase 粒度が 4 種: 64 B(v003)/ 128 B(m030)/ 256 B(v00x,v205,v20x,v30x,x035,l103)/ 4096 B(v407,x315)。M030 のマスクは 0xFFFFFF80 = 128 B で他の 256 B と違う",evt-iap 10,flash_ops.csv,v103 は CH32_IAP_ERASE 経由で 128 B,#,attested,survey:P1-P4
F11,E,"USB descriptor が 2 世代: 生バイト(v103,v20x,v30x,x035,m030)/ DEF_USB_VID マクロ(v205,v407,x315,l103,h417×2)。後者は **Vendor / HID モード切替**(DEF_USB_IAP_MODE)を持ち PID_HID 0xFE17 が増える",evt-iap 11,usb.csv,,#,attested,survey:P1-P4
F12,E,"**VID は 2 種類**: 0x4348(v103, v20x)と 0x1A86(他 9)。PID は全て 0x55E0。既存 doc の 1A86:55E0 と V20x sample の 4348:55E0 はどちらも正しく、series で割れているのが真相",evt-iap 11,usb.csv,,#,attested,survey:P1-P4
F13,D,`.ld` は series 既定からズレる側にだけ置かれる。IAP 側でサイズを実際に縛るのは 13 中 5(v003 1920/v00x 3328/v205 20K/v407 20K/h417-v3f 24K)。x315 と h417-v5f は .ld があるが既定と同値で無制約、残り 6 は .ld 自体が無い,evt-iap 13,memory_map.csv;series_memory.csv,,#,attested,survey:P1-P4
F14,I,series 既定 ld にコメントアウトされた品種別構成が同居(V00X 3 / V20x 3 / V30x 2 系統)。flash/RAM は品種と option で可変なので、flash 末尾を build 時定数で決め打ちできない,12 series,series_memory.csv,,#,attested,survey:P1-P4
F15,I,**解決**: `CalAddr` はどの series でも flash 範囲内。以前「範囲外」に見えたのは `parts.csv` の `flash_bytes` が**零等待領域**で、総容量(Code FLASH)ではなかったため。総容量基準では V20x=224K/V30x=480K/V407=992K に対し CalAddr は各々 223/479/991 KB = **末尾-4**,evt-iap 11,caladdr_validity.csv;ds:CH32V203DS0;ds:CH32V407;product_attributes.csv,X315 は 223KB(総容量 480K の中途、V20x と同値)、V00X は 15KB(最小品種 16K 基準)、H417 は 479KB。この 3 つだけ末尾ではない,#,attested,survey:P1-P4
F16,J,stub の記述形態は 4 種(C / asm / 手書き hex / 生成 header)。inline hex 13 + 生成 header 15 + asm 17 + WCH 純正 blob 4 = 51 行,stub 51,stubs.csv,,#,attested,survey:P1-P4
F17,J,**b003 系 stub 47 本すべてが x0–x15 のみ使用(rv32ec_safe=1)**。内訳は inline hex 15 + 生成 header 15(この 30 本は逆アセンブルで実測)+ asm ソース 17。一方 WCH 純正 flashloader blob 4 本はすべて x16 以降を使う(rv32ec_safe=0)。V003 で走らせる必要の有無が、そのままレジスタ規律の有無になっている,stub 51,stubs.csv;stub_disasm/,,#,verified,survey:P1-P4
F18,J,inline hex と生成 header がバイト完全一致するものがある(write_block 104 B / write_block_v20x 104 B)。erase_block は 52 B 同士だが 2 byte ずれる(nop/ret の順序。機能は同一 → F30 で解消)。**二重管理であること自体は事実**,stub 6,equiv_groups.csv;stubs_hex/,,#,verified,survey:P1-P4
F19,Q4,stub の実測サイズ: halt_wait 10 B / run_app_new 8 B / write64_flash 48 B / erase_block 52 B / write_block 104 B / run_app 120 B。ch5xx 系は 26〜388 B。**機能 1 個あたり数十バイトで BL の flash 予算を消費しない**,stub 51,stubs.csv,,#,verified,survey:P1-P4
F20,Q4,"scratchpad 予算: rv003usb は BL 1,916 B + secret 4 B に対し scratchpad 128 B。ch32fun は BL 3,328 B に対し scratchpad 6,144+128 B = **BL 本体の約 1.9 倍**。拡張余地は flash ではなく RAM にある",oss-bl 2,memory_map.csv;custom-bootloader.ja.md,,#,attested,survey:P1-P4
F21,G,X035 のみ USBFS_Device_Init が VDD を引数に取る(PWR_VDD_SupplyVoltage())。他 series は 1 引数,evt-x035-iap,entry_exit.csv;main.c,,#,attested,survey:P1-P4
F22,B,H417 のみ core 別に project が 2 本(V3F/V5F)。V5F は flash ORIGIN が 0x00010000 で「BL は flash 先頭」の前提が崩れる唯一の例。ただし 10 属性の比較では V3F と V5F は 10/10 一致(IAP 本体は Common/ 共有),evt-h417 2,projects.csv;memory_map.csv,,#,attested,survey:P1-P4
F23,F,IWDG_ReloadCounter を main loop に持つのは v30x/v407/x315 の 3 つだけ。BL 中の watchdog 扱いが統一されていない,evt-iap 13,entry_exit.csv,,#,attested,survey:P1-P4
F24,E,"UART は USART1(v003,v00x,m030)/ USART2(v205,v407,x035,x315,l103)/ USART3(v103,v20x,v30x)に割れる。baud は V103 の 57600 以外すべて 460800",evt-iap 11,clock_uart.csv,,#,attested,survey:P1-P4
F25,F/軸外,**blank pattern はハードウェア特性**で、**独立 3 系統が一致**する: ① RM の明文(zh/en) ② WCH 自身の EVT IAP の判定値(10/10)③ 実機 debug read(6 family/6)。系統 B = 0xe339e339(V20x/V30x/V407/X315/H417)、系統 A = 0xFFFFFFFF(V003/V006/V103/V205/X035/L103/M030),12 family,ch32-device-data:evidence/flash_geometry.csv;entry_exit.csv;rm;measured:ch32rv,V003/V103 は RM 無記載だが実機 debug read で A 系を確認済み,#,verified,survey:P1-P5 + ch32-device-data:R-31(evidence/flash_geometry.csv)
F26,J/Q4,stub の scratchpad 引数 offset を逆アセンブルで確定。**pgm-b003fun.c のコメント `@76/@80/@84` は古く誤り**(write_block の実際は @108/@112/@116、data @120。blob 104 B + header 4 B)。erase_block は @56/@60/@64。write64_flash は @52/@56/@60(コメント通り),stub 4,stub_args.csv;stub_disasm/,"attic の write_block.asm のコメント `scratchpad + 88` も誤り(コード自身は `addi a4,a0,108`)",#,verified,survey:P1-P5
F27,Q4,"HID feature report の framing を確定: `ResetOp` で先頭 4 B = `AA 00 00 00`、stub 本体は offset 4、末尾 4 B に magic `0x1234abcd`、**report ID = 0xAA + pad_size/1024**。pad_size は {128,1152,2176,3200,4096,5248,6272} の 7 段",host 1,stub_framing.csv,,#,attested,survey:P1-P5
F28,Q7/H2,"**rv003usb BL のサイズ実測**: 全機能 off = 1,896 B(予算 1,916 B、残り 20 B)。機能単体 = PWR +8 / USB0 +4 / USBN +12 / BTN +8 / BTN+PULL +12 / BTN+SOFT +20 / KEEP +8。**非加算**: PWR+USB0 は 8+4=12 ではなく実測 +28(相互作用 +16)。2 機能で予算超過",oss-rv003usb-bl 14 構成,build_sizes.csv,,#,verified,survey:P1-P5
F29,Q7/§4.1,"**コンパイラ版だけでサイズが動く**。fork 既定構成で gcc 8.2.0 = 1,924 B / 14.3.0 = 1,924 B / 15.2.0 = 1,928 B。予算 1,916 B に対し**4 toolchain すべて超過**(+8〜+12)。§4.1 の「C のサイズは同一ビルド条件でしか比較しない」を実測が裏付ける",oss-rv003usb-bl,build_sizes.csv,ch32fun は submodule 未チェックアウトのため upstream HEAD で代替。絶対値は upstream と異なる可能性,#,verified,survey:P1-P5
F30,J,`erase_block` の inline hex と生成 header の 2 byte 差は **`nop` と `ret` の順序入れ替え**(inline は `nop;ret`、生成は `ret;nop`)。**機能は同一**だが、inline 側が現行 `.S` から再生成されていない証拠。F18 の conflict はこれで解消,stub 2,stubs_hex/;stub_disasm/,,#,verified,survey:P1-P5
F31,E/Q5,ETH_IAP の A/B slot 寸法は **V20x と V30x で違う**。V20x = BIM 40K / USER 44K @0x0800A000 / BACKUP 44K @0x08015000 / flag 0x0801FF00(合計 128K)。V30x = BIM 40K / USER 108K @0x0800A000 / BACKUP 108K @0x08025000 / flag 0x0803FF00(合計 256K)。magic は共通 `IMAGE_FLAG_UPDATE = 0x57434820`('WCH '),evt-eth-iap 2,subordinate_targets.csv,,#,attested,survey:P1-P5
F32,E/Q5,**BLE IAP の slot 定義は CH32V307 級(480K)向けの流用**。IAP 16K + IMAGE_A 216K + IMAGE_B 216K = 448K、OTA_DATAFLASH `0x08077000`(476K)。**CH32V307 の Code FLASH 480K には収まるが、CH32V203/V208 の 224K max には収まらない**(総容量基準で再確認)。ota.h は 2018/12/14 付,evt-ble-iap 3,subordinate_targets.csv;caladdr_validity.csv;ds:CH32V203DS0(224KB max),OnlyUpdateApp_IAP は 16K+240K=256K で最大品種にちょうど収まる(DATAFLASH は範囲外のまま),#,attested,survey:P1-P5
F33,D,CH32V006 の BootAsUser `Link.ld` は `FLASH ... LENGTH = 16K`。V006 の flash は 62K なので **V003 からの写し**。BFLASH は正しく 0x1fff0000/3328,evt-bootasuser 3,subordinate_targets.csv,,#,attested,survey:P1-P5
F34,方法論,**EVT のヘッダには GB18030 のものがある**(BLE の `ota.h` 等)。`grep` はこれを binary 扱いして `-h` 指定時に**一致を黙って捨てる**。`iconv -f GB18030` を通さないと定数を取り落とす。本調査でも一度「定義が存在しない」と誤判定した,EVT 全体,—,,#,verified,survey:P1-P5
F35,F/方法論,**既存の誤読を訂正**: `0xe339e339` を「WCH-Link firmware が返す placeholder(実セルは 0xff)」とする説は**誤り**。RM の明文・EVT IAP・実機 debug read・独立実装(wlink)の dump がすべて一致し、chip 自身の消去後読み出し値である。`protocols/pc-to-link.ja.md` §6 で訂正済み,protocols 1 箇所,ch32-device-data:evidence/flash_geometry.csv;protocols/pc-to-link.ja.md,read-modify-write を family で gate する実装判断そのものは正しかった(理由が違っただけ),#,verified,survey:P5
F36,Q4/J,**wlink 系 flash loader は 5 blob = 実質 4 本**。`CH643`(488B)と `CH32L103`(512B)は先頭 488B がバイト完全一致で、差は末尾の `0xff`×24 padding のみ = 同一 stub。`CH32V003`(498B)だけ他 4 本と共通接頭辞 0B・**x0–x15 のみ使用(rv32ec_safe=1)**で別ビルド。他 4 本は x28〜x30 を使い V003 では走らない。minichlink の `linke-flashloader-v1/v2`(同じ 512B)とは**別 blob**,stub 5 本,stubs.csv;wlink_stub_comparison.csv;equiv_groups.csv,,verified,reply-0005,
F37,E/Q5,"**HOST_IAP 13 project の image ファイル名は `/APP.BIN` で 13/13 完全一致**。一方 BL 予約サイズは 4 種に割れる: 20KB(v103,v20x)/ 24KB(v30x,x035)/ 32KB(v205,v407,x315,l103,m030)/ 48KB(h417)",hostiap 13,host_iap.csv;host_iap_constants.csv,,#,attested,survey:P5-U6
F38,E/Q5,"**同じ series でも HOST_IAP は UART/USB IAP より BL 予約が大きい**(USB host stack のぶん)。v20x のみ同じ 0x5000、他は +4KB(v30x,x035)/ +12KB(v205,v407,x315,l103,m030)/ +24KB(h417)。→ 「20 KB 予約」は UART/USB IAP に限った話で、transport を変えると崩れる",9 series,iap_reserve_compare.csv,,#,attested,survey:P5-U6
