family,group,erased_read_word,erased_read_half,erased_read_byte_even,erased_read_byte_odd,rm_pages_zh,rm_pages_en,#,confidence,basis
CH32V003,A,0xFFFFFFFF,,,,,,#,verified,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/main.c(blank=0xFFFFFFFF)+family:CH32V006(zh RM) + measured:ch32rv(debug-read CH32V003F4P6 via WCH-LinkE: erase→0xff)
CH32V006,A,0xFFFFFFFF,,,,220;222;224,,#,attested,"rm:CH32V00XRM.PDF:zh(p.220,222,224)"
CH32V103,A,0xFFFFFFFF,,,,,,#,verified,rm:CH32xRM.PDF(FLASH_STATR.PGERR = 非0xFFFF への programming で置位) + measured:ch32rv(debug-read CH32V103R8T6 via WCH-Link CH549: erase→0xff→program→erase 往復)
CH32V205,A,0xFFFFFFFF,,,,378;379;380;382,447;449;450;452,#,attested,rm:CH32V205RM.PDF:zh+en
CH32V20x,B,0xe339e339,0xe339,0x39,0xe3,540;541;542;544,611;613;614;616,#,verified,rm:CH32FV2x_V3xRM.PDF:zh+en + measured:ch32rv(debug-read CH32V203C8T6 via WCH-LinkE: 39 e3 39 e3 = 偶0x39/奇0xe3)
CH32V307,B,0xe339e339,0xe339,0x39,0xe3,540;541;542;544,611;613;614;616,#,verified,rm:CH32FV2x_V3xRM.PDF:zh+en + measured:ch32rv(debug-read CH32V307VCT6 via WCH-LinkE: 39 e3 39 e3。wlink dump と同値)
CH32V407,B,0xe339e339,0xe339,0x39,0xe3,522;523;525,590;592;594;596;597,#,attested,rm:CH32V407RM.PDF:zh+en
CH32X035,A,0xFFFFFFFF,,,,231;233;235,245;247;248;250,#,verified,rm:CH32X035RM.PDF:zh+en + measured:ch32rv(debug-read CH32X035C8T6 via WCH-LinkE: erase→0xff)
CH32X315,B,0xe339e339,0xe339,0x39,0xe3,304;305;307,358;360;363,#,attested,rm:CH32X315RM.PDF:zh+en
CH32L103,A,0xFFFFFFFF,,,,304;305;306;308,358;360;363,#,attested,rm:CH32L103RM.PDF:zh+en
CH32M030,A,0xFFFFFFFF,,,,,259,#,single-source,rm:CH32M030RM.PDF:en(p.259) / zh 版に注なし
CH32H417,B,0xe339e339,0xe339,0x39,0xe3,875;876;877,1037;1038;1041,#,attested,rm:CH32H417RM.PDF:zh+en
