project_id,series,op,api,call_args,granularity_bytes,source_file,source_line,#,confidence,basis
evt-v003-iap,CH32V003,erase,FLASH_ErasePage_Fast,CalAddr & 0xFFFFFFC0,64,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.c,124,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.c(L124)
evt-v00x-iap,CH32V00X,program,FLASH_ROM_WRITE,"adr, buf, 256",256,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/flash.c,27,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/flash.c(L27)
evt-v00x-iap,CH32V00X,erase,FLASH_ROM_ERASE,"CalAddr & 0xFFFFFF00,256",256,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.c,149,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.c(L149)
evt-v103-iap,CH32V103,erase,FLASH_ErasePage_Fast,Start_adr + 128*i,,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,38,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L38)
evt-v103-iap,CH32V103,buffer,FLASH_BufReset,,,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,54,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L54)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr, buf[0], buf[1], buf[2], buf[3]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,55,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L55)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr + 0x10, buf[4], buf[5], buf[6], buf[7]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,56,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L56)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr + 0x20, buf[8], buf[9], buf[10], buf[11]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,57,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L57)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr + 0x30, buf[12], buf[13], buf[14], buf[15]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,58,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L58)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr + 0x40, buf[16], buf[17], buf[18], buf[19]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,59,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L59)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr + 0x50, buf[20], buf[21], buf[22], buf[23]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,60,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L60)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr + 0x60, buf[24], buf[25], buf[26], buf[27]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,61,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L61)
evt-v103-iap,CH32V103,buffer,FLASH_BufLoad,"adr + 0x70, buf[28], buf[29], buf[30], buf[31]",,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,62,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L62)
evt-v103-iap,CH32V103,program,FLASH_ProgramPage_Fast,adr,,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c,64,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/flash.c(L64)
evt-v103-iap,CH32V103,erase,FLASH_ErasePage_Fast,Program_addr,,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c,59,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/User/iap.c(L59)
evt-v205-iap,CH32V205,program,FLASH_ROM_WRITE,"adr,buf,256",256,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/flash.c,27,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/flash.c(L27)
evt-v205-iap,CH32V205,erase,FLASH_ROM_ERASE,"Program_addr,Size_256B",256,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c,58,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c(L58)
evt-v205-iap,CH32V205,erase,FLASH_ROM_ERASE,"CalAddr & 0xFFFFFF00,Size_256B",256,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c,102,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/User/iap.c(L102)
evt-v20x-iap,CH32V20x,program,FLASH_ProgramPage_Fast,"adr, buf",,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/flash.c,27,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/flash.c(L27)
evt-v20x-iap,CH32V20x,erase,FLASH_ErasePage_Fast,Program_addr,,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.c,59,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.c(L59)
evt-v20x-iap,CH32V20x,erase,FLASH_ErasePage_Fast,CalAddr & 0xFFFFFF00,256,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.c,107,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/User/iap.c(L107)
evt-v30x-iap,CH32V30x,program,FLASH_ProgramPage_Fast,"adr, buf",,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/flash.c,27,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/flash.c(L27)
evt-v30x-iap,CH32V30x,erase,FLASH_ErasePage_Fast,Program_addr,,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.c,58,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.c(L58)
evt-v30x-iap,CH32V30x,erase,FLASH_ErasePage_Fast,CalAddr & 0xFFFFFF00,256,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.c,105,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_IAP/User/iap.c(L105)
evt-v407-iap,CH32V407,program,FLASH_ROM_WRITE,"adr, buf ,256",256,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/flash.c,27,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/flash.c(L27)
evt-v407-iap,CH32V407,erase,FLASH_ROM_ERASE,"Program_addr,Size_4KB",4096,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.c,59,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.c(L59)
evt-v407-iap,CH32V407,erase,FLASH_ROM_ERASE,"Program_addr& (~(Size_4KB-1)),Size_4KB",4096,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.c,90,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.c(L90)
evt-v407-iap,CH32V407,erase,FLASH_ROM_ERASE,"CalAddr & (~(Size_4KB-1)),Size_4KB",4096,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.c,119,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/User/iap.c(L119)
evt-x035-iap,CH32X035,buffer,FLASH_BufReset,,,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.c,41,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.c(L41)
evt-x035-iap,CH32X035,buffer,FLASH_BufLoad,"adr+4*i, buf[i]",,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.c,43,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.c(L43)
evt-x035-iap,CH32X035,program,FLASH_ProgramPage_Fast,adr,,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.c,45,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_IAP/User/iap.c(L45)
