project_id,repo,usb_controller,path,image_file,flash_addr_seen,app_ld_origin,block_size,src_file_count,src_bytes,#,confidence,basis
hostiap-h417-fs,CH32H417,USBFS,EVT/EXAM/USBFS/HOST/HOST_IAP,/APP.BIN,0x0800C000,0x0000C000 (+64K),0x100,13,101759,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP
hostiap-h417-hs,CH32H417,USBHS,EVT/EXAM/USBHS/HOST/HOST_IAP,/APP.BIN,0x0800C000,0x0000C000 (+64K),0x100,13,104997,#,single-source,evt:CH32H417/EVT/EXAM/USBHS/HOST/HOST_IAP/HOST_IAP
hostiap-l103-fs,CH32L103,USBFS,EVT/EXAM/USB/USBFS/HOST_IAP,/APP.BIN,0x08008000,0x00008000 (+32K),0x100,11,98884,#,single-source,evt:CH32L103/EVT/EXAM/USB/USBFS/HOST_IAP/HOST_IAP
hostiap-m030-fs,CH32M030,USBFS,EVT/EXAM/USB/USBFS/HOST_IAP,/APP.BIN,0x08008000,0x00008000 (+32K),128,11,93220,#,single-source,evt:CH32M030/EVT/EXAM/USB/USBFS/HOST_IAP/HOST_IAP
hostiap-v103-fs,CH32V103,USBFS,EVT/EXAM/USB/USBFS/HOST_IAP,/APP.BIN,0x08005000,0x00005000 (+44K),0x80,11,92198,#,single-source,evt:CH32V103/EVT/EXAM/USB/USBFS/HOST_IAP/HOST_IAP
hostiap-v205-fs,CH32V205,USBFS,EVT/EXAM/USBFS/Host/HOST_IAP,/APP.BIN,0x08008000,0x00008000 (+32K),0x100,11,105589,#,single-source,evt:CH32V205/EVT/EXAM/USBFS/Host/HOST_IAP/HOST_IAP
hostiap-v205-hs,CH32V205,USBHS,EVT/EXAM/USBHS/Host/HOST_IAP,/APP.BIN,0x08008000,0x00008000 (+32K),0x100,11,107657,#,single-source,evt:CH32V205/EVT/EXAM/USBHS/Host/HOST_IAP/HOST_IAP
hostiap-v20x-fs,CH32V20x,USBFS,EVT/EXAM/USB/USBFS/HOST_IAP,/APP.BIN,0x08005000,0x00000000 (+32K),0x100,11,108294,#,single-source,evt:CH32V20x/EVT/EXAM/USB/USBFS/HOST_IAP/HOST_IAP
hostiap-v30x-fs,CH32V307,USBFS,EVT/EXAM/USB/USBFS/HOST_IAP,/APP.BIN,0x08006000,0x00006000 (+168K),0x100,11,114441,#,single-source,evt:CH32V307/EVT/EXAM/USB/USBFS/HOST_IAP/HOST_IAP
hostiap-v30x-hs,CH32V307,USBHS,EVT/EXAM/USB/USBHS/HOST_IAP,/APP.BIN,0x08006000,0x00006000 (+168K),0x100,11,114517,#,single-source,evt:CH32V307/EVT/EXAM/USB/USBHS/HOST_IAP/HOST_IAP
hostiap-v407-hs,CH32V407,USBHS,EVT/EXAM/USBHS/Host/HOST_IAP,/APP.BIN,0x08008000,0x00008000 (+32K),0x100,11,115683,#,single-source,evt:CH32V407/EVT/EXAM/USBHS/Host/HOST_IAP/HOST_IAP
hostiap-x035-fs,CH32X035,USBFS,EVT/EXAM/USB/USBFS/HOST_IAP,/APP.BIN,0x08006000,0x00006000 (+40K),0x100,11,86125,#,single-source,evt:CH32X035/EVT/EXAM/USB/USBFS/HOST_IAP/HOST_IAP
hostiap-x315-hs,CH32X315,USBHS,EVT/EXAM/USBHS/Host/HOST_IAP,/APP.BIN,0x08008000,0x00008000 (+32K),0x100,11,109241,#,single-source,evt:CH32X315/EVT/EXAM/USBHS/Host/HOST_IAP/HOST_IAP
