project_id,file,line,name,value_expr,#,confidence,basis
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,30,DEF_CORE_RV,0x01,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L30)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,31,DEF_CORE_CM3,0x10,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L31)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,32,DEF_CORE_TYPE,DEF_CORE_RV,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L32)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,35,DEF_IAP_FILE_NAME,"""/APP.BIN""",#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L35)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,38,DEF_IAP_SUCCESS,0x00,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L38)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,39,DEF_IAP_DEFAULT,0xFF,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L39)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,40,DEF_IAP_ERR_DETECT,0xF1,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L40)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,41,DEF_IAP_ERR_ENUM,0xF2,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L41)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,42,DEF_IAP_ERR_FILE,0xF3,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L42)
hostiap-h417-fs,CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h,43,DEF_IAP_ERR_FLASH,0xF4,#,single-source,evt:CH32H417/EVT/EXAM/USBFS/HOST/HOST_IAP/HOST_IAP/Common/Host_IAP/usb_host_iap.h(L43)
