project_id,region,origin_expr,origin_bytes,length_expr,length_bytes,constrains_size,source_file,source_line,#,confidence,basis
evt-v003-iap,FLASH,0x00000000,,1920,1920,1,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Ld/Link.ld,1,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Ld/Link.ld
evt-v003-iap,RAM,0x20000000,536870912,2K,2048,,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Ld/Link.ld,5,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/Ld/Link.ld
evt-v00x-iap,FLASH,0x00000000,,3328,3328,1,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Ld/Link.ld,1,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Ld/Link.ld
evt-v00x-iap,RAM,0x20000000,536870912,4K,4096,,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Ld/Link.ld,5,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/Ld/Link.ld
evt-v103-app,FLASH,0x00005000,20480,44K,45056,1,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/LD/CH32V103R8T6.ld,1,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/LD/CH32V103R8T6.ld
evt-v103-app,RAM,0x20000000,536870912,20K,20480,,CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/LD/CH32V103R8T6.ld,5,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/LD/CH32V103R8T6.ld
evt-v205-iap,FLASH,0x00000000,,20K,20480,1,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/Ld/Link.ld,1,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/Ld/Link.ld
evt-v205-iap,RAM,0x20000000,536870912,32K,32768,,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/Ld/Link.ld,5,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/Ld/Link.ld
evt-v205-app,FLASH,0x00005000,20480,236K,241664,1,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/Ld/Link.ld,1,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/Ld/Link.ld
evt-v205-app,RAM,0x20000000,536870912,32K,32768,,CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/Ld/Link.ld,5,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/Ld/Link.ld
evt-v20x-app,FLASH,0x00005000,20480,64K,65536,0,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_APP/Ld/Link.ld,1,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_APP/Ld/Link.ld
evt-v20x-app,RAM,0x20000000,536870912,20K,20480,,CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_APP/Ld/Link.ld,5,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_APP/Ld/Link.ld
evt-v30x-app,FLASH,0x00005000,20480,228K,233472,1,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_APP/LD/Link.ld,1,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_APP/LD/Link.ld
evt-v30x-app,RAM,0x20000000,536870912,32K,32768,,CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_APP/LD/Link.ld,5,#,single-source,evt:CH32V307/EVT/EXAM/IAP/USB_UART/CHV30x_APP/LD/Link.ld
evt-v407-iap,FLASH,0x00000000,,20K,20480,1,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/Ld/Link.ld,1,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/Ld/Link.ld
evt-v407-iap,RAM,0x20000000+1024,536871936,136K-1K,138240,,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/Ld/Link.ld,5,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_IAP/Ld/Link.ld
evt-v407-app,FLASH,0x00005000,20480,576K-20K,569344,1,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_APP/Ld/Link.ld,1,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_APP/Ld/Link.ld
evt-v407-app,RAM,0x20000000+1024,536871936,136K-1K,138240,,CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_APP/Ld/Link.ld,5,#,single-source,evt:CH32V407/EVT/EXAM/IAP/USB_UART/CH32V407_APP/Ld/Link.ld
evt-x035-app,FLASH,0x00005000,20480,42K,43008,1,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_APP/Ld/Link.ld,1,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_APP/Ld/Link.ld
evt-x035-app,RAM,0x20000000,536870912,20K,20480,,CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_APP/Ld/Link.ld,5,#,single-source,evt:CH32X035/EVT/EXAM/IAP/USB_UART/CH32X035_APP/Ld/Link.ld
evt-x315-iap,FLASH,0x00000000,,192K,196608,0,CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/Ld/Link.ld,1,#,single-source,evt:CH32X315/EVT/EXAM/IAP/USB_UART/CH32X315_IAP/Ld/Link.ld
