project_id,kind,vendor,series,family,role,repo,path,doc_version,doc_date,transport_primary,transport_secondary,resides_in,core,src_file_count,src_bytes,src_lines,tmpl_series,tmpl_mcu,tmpl_mcu_type,tmpl_address,tmpl_target_path,tmpl_out_format,tmpl_sdi_printf,ld_ref_path,ld_present,#,confidence,basis
evt-v003-iap,evt-iap,WCH,CH32V003,CH32V003,bl,CH32V003,EVT/EXAM/USART_IAP/CH32V003_IAP,V1.0.1,2025/01/09,,,,,12,39623,1403,CH32V003,CH32V003F4P6,CH32V00x,0x08000000,obj\CH32V003_IAP.bin,bin,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/.template
evt-v003-app,evt-app,WCH,CH32V003,CH32V003,app,CH32V003,EVT/EXAM/USART_IAP/CH32V003_APP,V1.0.1,2025/01/09,,,,,10,31985,1065,CH32V003,CH32V003F4P6,CH32V00x,0x08000000,obj\CH32V003_APP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_APP/.template
evt-v00x-iap,evt-iap,WCH,CH32V00X,CH32V00X,bl,CH32V006,EVT/EXAM/USART_IAP/CH32V00X_IAP,V1.0.1,2025/01/13,,,,,12,38892,1373,CH32V006,CH32V006K8U,CH32V002/4/5/6/7,0x08000000,obj\CH32V00X_IAP.bin,bin,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/.template
evt-v00x-app,evt-app,WCH,CH32V00X,CH32V00X,app,CH32V006,EVT/EXAM/USART_IAP/CH32V00X_APP,V1.0.1,2025/01/13,,,,,10,30787,1022,CH32V006,CH32V006K8U,CH32V002/4/5/6/7,0x08000000,obj\CH32V00X_APP.bin,bin,false,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_APP/.template
evt-v103-iap,evt-iap,WCH,CH32V103,CH32V103,bl,CH32V103,EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP,V1.0.0,2020/12/16,,,,,10,57348,1859,CH32V103,CH32V103R8T6,CH32V10x,0x08000000,obj\CH32V103_IAP.hex,hex,,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_IAP/.template
evt-v103-app,evt-app,WCH,CH32V103,CH32V103,app,CH32V103,EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP,V1.0.0,2024/01/05,,,,,7,29750,1003,CH32V103,,CH32V10x,0x08000000,obj\CH32V103_APP.hex,hex,,Link.ld,1,#,single-source,evt:CH32V103/EVT/EXAM/IAP/UART_USB_IAP/CH32V103_APP/.template
evt-v205-iap,evt-iap,WCH,CH32V205,CH32V205,bl,CH32V205,EVT/EXAM/IAP/USB_UART/CH32V205_IAP,V1.0.1,2025/01/09,,,,,19,126389,3639,CH32V205,CH32V205CCT,CH32V205,0x08000000,obj/CH32V205_IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_IAP/.template
evt-v205-app,evt-app,WCH,CH32V205,CH32V205,app,CH32V205,EVT/EXAM/IAP/USB_UART/CH32V205_APP,V1.0.1,2025/01/09,,,,,19,120552,3538,CH32V205,CH32V205CCT,CH32V205,0x08000000,D:\桌面文件\0.MCU\7.2025\2.QH806-CH32V205\3.EVT\CH32V205EVT_V1.0_20250529\EVT\EXAM\FLASH\CH32V205_APP\obj\CH32V205_APP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32V205/EVT/EXAM/IAP/USB_UART/CH32V205_APP/.template
evt-v20x-iap,evt-iap,WCH,CH32V20x,CH32V20x,bl,CH32V20x,EVT/EXAM/IAP/USB_UART/CH32V20x_IAP,V1.0.1,2025/01/09,,,,,39,246315,7867,CH32V203,CH32V203RBT,CH32V20x,0x08000000,obj\CH32V20x_IAP.hex,hex,false,${workspace_loc:/${ProjName}/Ld/Link.ld,0,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_IAP/.template
evt-v20x-app,evt-app,WCH,CH32V20x,CH32V20x,app,CH32V20x,EVT/EXAM/IAP/USB_UART/CH32V20x_APP,V1.0.1,2025/01/09,,,,,40,249442,7967,CH32V203,CH32V203RBT,CH32V20x,0x08000000,obj/ADC_DMA.hex,hex,,${workspace_loc:/${ProjName}/Ld/Link.ld,1,#,single-source,evt:CH32V20x/EVT/EXAM/IAP/USB_UART/CH32V20x_APP/.template
