project_id,series,transport,sync1,sync2,header_layout,cmd_name,cmd_byte,direction,source_file,source_line,#,confidence,basis
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 buf[64+2]; }other;,CMD_IAP_PROM,0x80,host->target,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,24,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L24)
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,25,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L25)
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,26,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L26)
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,27,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L27)
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,,CMD_JUMP_IAP,0x84,host->target,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,28,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L28)
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,,ERR_SUCCESS,0x00,target->host,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,30,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L30)
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,,ERR_ERROR,0x01,target->host,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,31,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L31)
evt-v003-iap,CH32V003,uart+usb,0xaa,0x55,,ERR_End,0x02,target->host,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h,32,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/iap.h(L32)
evt-v00x-iap,CH32V00X,uart+usb,0xaa,0x55,struct{ u8 Cmd; u8 Len; u8 data[64]; }UART; struct{ u8 buf[64+4]; }other;,CMD_IAP_PROM,0x80,host->target,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,24,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L24)
evt-v00x-iap,CH32V00X,uart+usb,0xaa,0x55,,CMD_IAP_ERASE,0x81,host->target,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,25,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L25)
evt-v00x-iap,CH32V00X,uart+usb,0xaa,0x55,,CMD_IAP_VERIFY,0x82,host->target,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,26,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L26)
evt-v00x-iap,CH32V00X,uart+usb,0xaa,0x55,,CMD_IAP_END,0x83,host->target,CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h,27,#,single-source,evt:CH32V006/EVT/EXAM/USART_IAP/CH32V00X_IAP/User/iap.h(L27)
