impl_id,seq,op,reg_name,reg_addr,value_expr,value_num,mask,wait_on,wait_bit,loop_count,source_form,source_file,source_line,#,confidence,basis
evt-v003-iap,0,set-bits,FLASH_CTLR,0x40022010,0x00010000,65536,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,29,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L29)
evt-v003-iap,1,set-bits,FLASH_CTLR,0x40022010,0x00080000,524288,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,30,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L30)
evt-v003-iap,2,wait,FLASH_STATR,0x4002200C,,,0x1,FLASH_STATR,BSY,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,31,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L31)
evt-v003-iap,3,clear-bits,FLASH_CTLR,0x40022010,0x00010000,65536,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,33,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L33)
evt-v003-iap,4,loop-begin,,,16,16,,,,16,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,36,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L36)
evt-v003-iap,5,set-bits,FLASH_CTLR,0x40022010,0x00010000,65536,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,37,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L37)
evt-v003-iap,6,write,FLASH_BUF,,*(adr+4*j)=buf[j],,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,38,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L38)
evt-v003-iap,7,set-bits,FLASH_CTLR,0x40022010,0x00040000,262144,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,39,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L39)
evt-v003-iap,8,wait,FLASH_STATR,0x4002200C,,,0x1,FLASH_STATR,BSY,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,40,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L40)
evt-v003-iap,9,clear-bits,FLASH_CTLR,0x40022010,0x00010000,65536,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,42,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L42)
evt-v003-iap,10,loop-end,,,,,,,,16,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,43,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L43)
evt-v003-iap,11,set-bits,FLASH_CTLR,0x40022010,0x00010000,65536,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,45,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L45)
evt-v003-iap,12,write,FLASH_ADDR,0x40022014,adr,,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,46,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L46)
evt-v003-iap,13,set-bits,FLASH_CTLR,0x40022010,0x00000040,64,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,47,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L47)
evt-v003-iap,14,wait,FLASH_STATR,0x4002200C,,,0x1,FLASH_STATR,BSY,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,48,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L48)
evt-v003-iap,15,clear-bits,FLASH_CTLR,0x40022010,0x00010000,65536,,,,,c,CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c,50,#,single-source,evt:CH32V003/EVT/EXAM/USART_IAP/CH32V003_IAP/User/flash.c(L50)
