series,core,variant_label,parts,active,origin_expr,origin_bytes,region,length_expr,length_bytes,source_file,source_line,#,confidence,basis
CH32V003,,,,1,0x00000000,,FLASH,16K,16384,CH32V003/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Ld/Link.ld
CH32V003,,,,1,0x20000000,536870912,RAM,2K,2048,CH32V003/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V003/EVT/EXAM/SRC/Ld/Link.ld
CH32V00X,,CH32V002,CH32V002,0,0x00000000,,FLASH,16K,16384,CH32V006/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Ld/Link.ld
CH32V00X,,CH32V002,CH32V002,0,0x20000000,536870912,RAM,4K,4096,CH32V006/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Ld/Link.ld
CH32V00X,,CH32V004_CH32V005,CH32V004_CH32V005,0,0x00000000,,FLASH,32K,32768,CH32V006/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Ld/Link.ld
CH32V00X,,CH32V004_CH32V005,CH32V004_CH32V005,0,0x20000000,536870912,RAM,6K,6144,CH32V006/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Ld/Link.ld
CH32V00X,,,,1,0x00000000,,FLASH,62K,63488,CH32V006/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Ld/Link.ld
CH32V00X,,,,1,0x20000000,536870912,RAM,8K,8192,CH32V006/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V006/EVT/EXAM/SRC/Ld/Link.ld
CH32V103,,,,1,0x00000000,,FLASH,64K,65536,CH32V103/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V103/EVT/EXAM/SRC/Ld/Link.ld
CH32V103,,,,1,0x20000000,536870912,RAM,20K,20480,CH32V103/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V103/EVT/EXAM/SRC/Ld/Link.ld
CH32V205,,,,1,0x00000000,,FLASH,256K,262144,CH32V205/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V205/EVT/EXAM/SRC/Ld/Link.ld
CH32V205,,,,1,0x20000000,536870912,RAM,32K,32768,CH32V205/EVT/EXAM/SRC/Ld/Link.ld,5,#,single-source,evt:CH32V205/EVT/EXAM/SRC/Ld/Link.ld
CH32V20x,,CH32V20x_D6 - CH32V203F6-CH32V203G6-CH32V203C6,CH32V20x_D6 - CH32V203F6-CH32V203G6-CH32V203C6,0,0x00000000,,FLASH,32K,32768,CH32V20x/EVT/EXAM/SRC/Ld/Link.ld,1,#,single-source,evt:CH32V20x/EVT/EXAM/SRC/Ld/Link.ld
