stub_name,kind,scratchpad_offset,width_bytes,direction,meaning,source_line,#,confidence,basis
byte_wise_write_blob,code,4,48,in,stub 本体(byte_wise_write_blob),454,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L454)
byte_wise_write_blob,arg,52,4,in,Base address to write.,455,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L455)
byte_wise_write_blob,arg,56,4,in,write 1 bytes.,456,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L456)
byte_wise_write_blob,data,60,1,in,host -> target データ (blob),457,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L457)
byte_wise_write_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=1, receive_data_len=1)",458,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L458)
half_wise_write_blob,code,4,48,in,stub 本体(half_wise_write_blob),468,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L468)
half_wise_write_blob,arg,52,4,in,Base address to write.,469,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L469)
half_wise_write_blob,arg,56,4,in,write 2 bytes.,470,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L470)
half_wise_write_blob,data,60,2,in,host -> target データ (blob),471,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L471)
half_wise_write_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=2, receive_data_len=2)",472,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L472)
word_wise_write_blob,code,4,48,in,stub 本体(word_wise_write_blob),485,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L485)
word_wise_write_blob,arg,52,4,in,Base address to write.,486,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L486)
word_wise_write_blob,arg,56,4,in,write 4 bytes.,487,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L487)
word_wise_write_blob,data,60,to_write_this_time,in,host -> target データ (blob),488,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L488)
word_wise_write_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=to_write_this_time, receive_data_len=0)",489,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L489)
byte_wise_write_blob,arg,56,4,in,write 1 byte.,516,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L516)
ch5xx_flash_read_word_bin,code,4,172,in,stub 本体(ch5xx_flash_read_word_bin),549,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L549)
ch5xx_flash_read_word_bin,arg,176,4,in,Base address to read.,550,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L550)
ch5xx_flash_read_word_bin,arg,180,4,in,Read 4 bytes,551,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L551)
ch5xx_flash_read_word_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=4)",552,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L552)
ch5xx_flash_read_word_bin,arg,180,4,in,to_read_this_time,568,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L568)
ch5xx_flash_read_word_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=to_read_this_time)",569,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L569)
ch5xx_flash_read_byte_bin,code,4,164,in,stub 本体(ch5xx_flash_read_byte_bin),597,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L597)
ch5xx_flash_read_byte_bin,arg,168,4,in,Base address to read.,598,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L598)
ch5xx_flash_read_byte_bin,arg,172,4,in,to_read_this_time,599,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L599)
ch5xx_flash_read_byte_bin,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=to_read_this_time)",600,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L600)
byte_wise_read_blob,code,4,48,in,stub 本体(byte_wise_read_blob),614,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L614)
byte_wise_read_blob,arg,52,4,in,Base address to read.,615,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L615)
byte_wise_read_blob,arg,56,4,in,Read 1 bytes.,616,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L616)
byte_wise_read_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=1)",617,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L617)
half_wise_read_blob,code,4,48,in,stub 本体(half_wise_read_blob),627,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L627)
half_wise_read_blob,arg,52,4,in,Base address to read.,628,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L628)
half_wise_read_blob,arg,56,4,in,Read 2 bytes.,629,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L629)
half_wise_read_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=2)",630,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L630)
word_wise_read_blob,code,4,48,in,stub 本体(word_wise_read_blob),643,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L643)
word_wise_read_blob,arg,52,4,in,Base address to read.,644,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L644)
word_wise_read_blob,arg,56,4,in,Read 4 bytes.,645,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L645)
word_wise_read_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=to_read_this_time)",646,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L646)
byte_wise_read_blob,arg,56,4,in,Read 1 byte.,671,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L671)
run_app_new_blob,code,4,8,in,stub 本体(run_app_new_blob),688,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L688)
run_app_blob,code,4,48,in,stub 本体(run_app_blob),689,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L689)
run_app_new_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",696,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L696)
run_app_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",696,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L696)
halt_wait_blob,code,4,10,in,stub 本体(halt_wait_blob),815,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L815)
halt_wait_blob,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=0, receive_data_len=0)",816,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L816)
write64_flash,code,4,48,in,stub 本体(write64_flash),900,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L900)
write64_flash,arg,52,4,in,Base address to write. @52,901,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L901)
write64_flash,arg,56,4,in,FLASH STATR base address. @ 56,902,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L902)
write64_flash,data,60,64,in,@60,903,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L903)
write64_flash,commit,pad_size-4,4,in,"magic 0x1234abcd(send_data_len=64, receive_data_len=0)",905,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L905)
