stub_id,host_tool,repo,path,line,name,target_family,blob_bytes,active,source_form,is_generated,generated_from,disasm_path,equiv_group,reg_set,rv32ec_safe,notes,#,confidence,basis
b003-byte_wise_read,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,38,byte_wise_read_blob,V003;V00X;X035;V20x;V30x;CH5xx,48,1,hex-array,0,,stub_disasm/b003-byte_wise_read.asm,,x0 x10 x11 x12 x13 x14,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L38)
b003-half_wise_read,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,45,half_wise_read_blob,V003;V00X;X035;V20x;V30x;CH5xx,48,1,hex-array,0,,stub_disasm/b003-half_wise_read.asm,,x0 x2 x10 x11 x12 x13 x14,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L45)
b003-word_wise_read,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,52,word_wise_read_blob,V003;V00X;X035;V20x;V30x;CH5xx,48,1,hex-array,0,,stub_disasm/b003-word_wise_read.asm,,x0 x10 x11 x12 x13 x14,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L52)
b003-word_wise_write,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,59,word_wise_write_blob,V003;V00X;X035;V20x;V30x;CH5xx,48,1,hex-array,0,,stub_disasm/b003-word_wise_write.asm,,x0 x10 x11 x12 x13 x14,1,同じ配列内にコメントアウトされた代替版あり,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L59)
b003-write64_flash,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,71,write64_flash,V003;V00X;X035;V20x;V30x;CH5xx,48,1,hex-array,0,,stub_disasm/b003-write64_flash.asm,,x10 x11 x12 x13 x14 x15,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L71)
b003-half_wise_write,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,78,half_wise_write_blob,V003;V00X;X035;V20x;V30x;CH5xx,48,1,hex-array,0,,stub_disasm/b003-half_wise_write.asm,,x0 x2 x10 x11 x12 x13 x14,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L78)
b003-byte_wise_write,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,85,byte_wise_write_blob,V003;V00X;X035;V20x;V30x;CH5xx,48,1,hex-array,0,,stub_disasm/b003-byte_wise_write.asm,,x0 x10 x11 x12 x13 x14,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L85)
b003-halt_wait,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,94,halt_wait_blob,V003;V00X;X035;V20x;V30x;CH5xx,10,1,hex-array,0,,stub_disasm/b003-halt_wait.asm,,x10 x11 x13,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L94)
b003-run_app,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,113,run_app_blob,V003;V00X;X035;V20x;V30x;CH5xx,120,1,hex-array,0,,stub_disasm/b003-run_app.asm,,x0 x11 x13 x14 x15,1,同じ配列内にコメントアウトされた代替版あり,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L113)
b003-run_app_new,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,150,run_app_new_blob,V003;V00X;X035;V20x;V30x;CH5xx,8,1,hex-array,0,,stub_disasm/b003-run_app_new.asm,,x10 x13,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L150)
b003-write_block,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,167,write_block_bin,V003;V00X;X035;V20x;V30x;CH5xx,104,1,hex-array,0,,stub_disasm/b003-write_block.asm,,x5 x6 x10 x11 x12 x13 x14 x15,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L167)
b003-write_block_v20x_v30x,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,180,write_block_bin_v20x_v30x,V003;V00X;X035;V20x;V30x;CH5xx,104,1,hex-array,0,,stub_disasm/b003-write_block_v20x_v30x.asm,,x5 x6 x10 x11 x12 x13 x14 x15,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L180)
b003-erase_block,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,204,erase_block_bin,V003;V00X;X035;V20x;V30x;CH5xx,52,1,hex-array,0,,stub_disasm/b003-erase_block.asm,,x5 x10 x11 x12 x13 x14 x15,1,,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L204)
b003-run_app-commented,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,105,run_app_blob,V003,48,0,hex-array,0,,stub_disasm/b003-run_app-commented.asm,,x0 x14 x15,1,コメントアウトされた旧版,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L105)
b003-write_block-commented,minichlink/pgm-b003fun,ch32fun,ch32fun/minichlink/pgm-b003fun.c,156,write_block_bin,V003,80,0,hex-array,0,,stub_disasm/b003-write_block-commented.asm,,x5 x6 x10 x11 x12 x13 x14 x15,1,コメントアウトされた旧版,#,attested,oss:ch32fun/minichlink/pgm-b003fun.c(L156)
