stub_id,file_offset,bytes,fnv1a64,sha256_16,reg_set,rv32ec_safe,symbol,declared_bytes,family,matches_known,status,#,confidence,basis
wchocd-4619E0,0x4619E0,494,742030ff5a123b1b,8d4410485d0d6c04,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28 x29,0,flash_op103,512,CH32V103,wlink-CH32V103,既知,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-461BE0,0x461BE0,1156,685d93520a9cbeb3,c076be88df2913cd,x0 x1 x2 x3 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x30 x31,0,flash_op569,1216,CH569,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-4620A0,0x4620A0,1102,6db0e0f83486f21f,e756fd6e90fd5b8e,x0 x1 x2 x3 x4 x7 x8 x9 x10 x11 x12 x13 x14 x15 x18 x19 x20 x21 x22 x23 x24 x25 x26 x30 x31,0,flash_op573,1152,CH573,linke-flashloader-v4,既知,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-462520,0x462520,446,8442a2fdf21f3a2a,b87a83ef7aec9709,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28,0,flash_op307,512,CH32V20x / CH32V30x,wlink-CH32V307,既知,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-462720,0x462720,498,59bd20460d05dc7b,9d65b0efbfb7eabf,x0 x2 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15,1,flash_op003,512,CH32V003,wlink-CH32V003,既知,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-462920,0x462920,1386,4857e15579f96744,680e80cf39626a00,x0 x2 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15,1,flash_op8571,1408,CH8571,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-462EA0,0x462EA0,488,e83c3783efcabbc6,0ac404e16def85d6,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28 x29 x30,0,flash_op643,512,CH643 / CH32X035,wlink-CH32L103;wlink-CH643,既知,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-4630A0,0x4630A0,1326,ec4af99142bd1c66,79ae7b0f4d322948,x0 x1 x2 x3 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x18 x19 x20 x21 x22 x23 x24 x25 x26 x29 x30 x31,0,flash_op583,1536,CH583,linke-flashloader-v3,既知,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-4636A0,0x4636A0,488,e83c3783efcabbc6,0ac404e16def85d6,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28 x29 x30,0,flash_opl103,512,CH32L103,wlink-CH32L103;wlink-CH643,既知,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-4638A0,0x4638A0,440,38d178637c2cfa0e,d98f6fdd5d16d180,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28,0,flash_op645,512,CH645,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-463AA0,0x463AA0,500,99a2d358b6ce32aa,12ba353b7a8b7cce,x0 x2 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15,1,flash_op00X,512,CH32V00X(V002/4/5/6/7),,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-463CA0,0x463CA0,1372,4e66d147e14535f8,67e2f79e241b2164,x0 x1 x2 x3 x4 x5 x6 x8 x9 x10 x11 x12 x13 x14 x15 x17 x18 x19 x20 x21 x22 x23 x24 x25 x28 x29,0,flash_op564,1536,CH564,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-4641FC,0x4641FC,160,74fa8c30796c37ba,af8d4838161d7c0f,x0 x1 x2 x8 x10 x14 x15 x30 x31,0,flash_op564,1536,CH564,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-4642A0,0x4642A0,440,38d178637c2cfa0e,d98f6fdd5d16d180,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28,0,flash_op317,448,CH32V317,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-464460,0x464460,440,6b4a06e93d333cb9,be35ba6013d5c6a6,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28 x29,0,flash_opm030,448,CH32M030,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-464620,0x464620,618,e40f812d6a956bbd,9d7de34e99431d74,x0 x2 x6 x10 x11 x12 x13 x14 x15 x16 x17 x28 x29 x30 x31,0,flash_op417,768,CH32H417,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-464920,0x464920,504,d3eb8ae426494370,1521f2a26a9a4e8a,x0 x1 x2 x4 x5 x8 x9 x10 x11 x12 x13 x14 x15 x18 x19 x20 x21 x22 x23 x24 x30 x31,0,flash_op572,1344,CH572,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-464B18,0x464B18,804,1b592d6a7f980f6f,f73c2abbc09feba0,x0 x1 x2 x3 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x18 x19 x20 x21 x22 x23 x26 x27 x30,0,flash_op572,1344,CH572,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
wchocd-464E60,0x464E60,1222,c7b5a19b536bda61,87619d7cbbc3154e,x0 x1 x2 x3 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x17 x18 x19 x20 x21 x22 x23 x24 x26 x27 x30 x31,0,flash_op584,1280,CH584,,新規,#,verified,"wch:tools/OpenOCD/OpenOCD/bin/openocd (WCH 配布の Linux OpenOCD, .rodata)"
