series,peripheral,signal,pad,selector,value,confidence
CH32L103,I2C1,I2C1_SCL,PB6,afio-i2c1-rm,0,reference
CH32L103,I2C1,I2C1_SCL,PA13,afio-i2c1-rm,2,reference
CH32L103,I2C1,I2C1_SCL,PB9,afio-i2c1-rm,3,reference
CH32L103,I2C1,I2C1_SDA,PB7,afio-i2c1-rm,0,reference
CH32L103,I2C1,I2C1_SDA,PA12,afio-i2c1-rm,2,reference
CH32L103,I2C1,I2C1_SDA,PB11,afio-i2c1-rm,3,reference
CH32L103,I2C1,I2C1_SMBA,PB5,afio-i2c1-rm,0,reference
CH32L103,I2C1,I2C1_SMBA,PB5,afio-i2c1-rm,2,reference
CH32L103,I2C1,I2C1_SMBA,PB5,afio-i2c1-rm,3,reference
CH32L103,SPI1,SPI1_MISO,PA6,afio-spi1-rm,0,reference
CH32L103,SPI1,SPI1_MISO,PB4,afio-spi1-rm,1,reference
CH32L103,SPI1,SPI1_MISO,PB8,afio-spi1-rm,2,reference
CH32L103,SPI1,SPI1_MISO,PB8,afio-spi1-rm,3,reference
CH32L103,SPI1,SPI1_MOSI,PA7,afio-spi1-rm,0,reference
CH32L103,SPI1,SPI1_MOSI,PB5,afio-spi1-rm,1,reference
CH32L103,SPI1,SPI1_MOSI,PB7,afio-spi1-rm,2,reference
CH32L103,SPI1,SPI1_MOSI,PB7,afio-spi1-rm,3,reference
CH32L103,SPI1,SPI1_NSS,PA4,afio-spi1-rm,0,reference
CH32L103,SPI1,SPI1_NSS,PA15,afio-spi1-rm,1,reference
CH32L103,SPI1,SPI1_NSS,PA12,afio-spi1-rm,2,reference
CH32L103,SPI1,SPI1_NSS,PB12,afio-spi1-rm,3,reference
CH32L103,SPI1,SPI1_SCK,PA5,afio-spi1-rm,0,reference
CH32L103,SPI1,SPI1_SCK,PB3,afio-spi1-rm,1,reference
CH32L103,SPI1,SPI1_SCK,PB6,afio-spi1-rm,2,reference
CH32L103,SPI1,SPI1_SCK,PB6,afio-spi1-rm,3,reference
CH32L103,USART1,USART1_CK,PA8,afio-usart1-rm,0,reference
