series,has_debug_pins,has_any_remap,has_bus_routes,bus_route_rows
CH32H415,yes,no,no,0
CH32H416,yes,yes,no,0
CH32H417,yes,yes,no,0
CH32L103,yes,yes,yes,95
CH32M007,yes,yes,yes,72
CH32M030,yes,yes,yes,48
CH32M103,no,yes,yes,69
CH32V002,yes,yes,yes,58
CH32V003,yes,yes,no,0
CH32V004,yes,yes,yes,58
CH32V005,yes,yes,yes,92
CH32V006,yes,yes,yes,106
CH32V007,yes,yes,yes,106
CH32V103,yes,yes,yes,33
CH32V203,yes,yes,yes,52
CH32V205,yes,no,no,0
CH32V208,yes,yes,yes,42
CH32V303,yes,yes,yes,112
CH32V305,yes,yes,yes,79
CH32V307,yes,yes,yes,112
CH32V317,yes,yes,yes,94
CH32V407,yes,yes,yes,211
CH32V467,yes,yes,yes,211
CH32X033,yes,yes,yes,2
CH32X035,yes,yes,yes,3
CH32X305,yes,yes,no,0
CH32X315,yes,yes,no,0
