series,family,debug_if,swdio_pads,swclk_pads,wording,section,confidence,basis
CH32H415,CH32H417,both,PB9,PB8,Serial Debug Interface (SDI),1.4.46,confirmed,"CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32H416,CH32H417,both,PB9,PB8,Serial Debug Interface (SDI),1.4.46,confirmed,"CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32H417,CH32H417,both,PB9,PB8,Serial Debug Interface (SDI),1.4.46,confirmed,"CH32H417DS0.PDF:zh(1.4)+CH32H417DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32L103,CH32L103,rvswd,PA13,PA14,2-wire SDI Serial Debug Interface,1.4.26,confirmed,CH32L103DS0.PDF:zh(1.4)+CH32L103DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5)+WCH-LinkUserManual.PDF:en(p.6)
CH32M007,CH32V006,both,PD1,PB3,1-wire Serial Debug Interface (SDI),1.4.20,confirmed,"CH32V007DS0.PDF:zh(1.4)+CH32V007DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32M030,CH32M030,both,PA3,PA2,Serial Debug Interface (SDI),1.4.22,confirmed,"CH32M030DS0.PDF:zh(1.4)+CH32M030DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.5,p.5)+WCH-LinkUserManual.PDF:en(p.6,p.6)"
CH32M103,CH32L103,rvswd,PA13,PA14,2-wire SDI Serial Debug Interface,1.4.26,confirmed,CH32L103DS0.PDF:zh(1.4)+CH32L103DS0.PDF:en(1.4)
CH32V002,CH32V006,swio,PD1,,1-wire Serial Debug Interface (SDI),1.4.17,confirmed,"CH32V002DS0.PDF:zh(1.4)+CH32V002DS0.PDF:en(1.4)+!WCH-LinkUserManual.PDF(swclk=PB3,dual=yes)"
CH32V003,CH32V003,swio,PD1,,1-wire Serial Debug Interface (SDI),1.4.18,confirmed,CH32V003DS0.PDF:zh(1.4)+CH32V003DS0.PDF:en(1.4)+WCH-LinkUserManual.PDF:zh(p.4)+WCH-LinkUserManual.PDF:en(p.6)
CH32V004,CH32V006,swio,PD1,,1-wire Serial Debug Interface (SDI),1.4.17,confirmed,"CH32V004DS0.PDF:zh(1.4)+CH32V004DS0.PDF:en(1.4)+!WCH-LinkUserManual.PDF(swclk=PB3,dual=yes)"
