series,pad,n_roles,involves_debug,roles
CH32H415,PB8,7,yes,DEBUG.SWCLK;I2C1.SCL;I2C4.SCL;PIOC.IO0;TIM10.CH3;TIM4.CH3;USART6.RX
CH32H415,PB9,9,yes,DEBUG.SWDIO;I2C1.SDA;I2C4.SDA;I2C4.SMBA;PIOC.IO1;SPI2.NSS;TIM10.CH4;TIM4.CH4;USART6.TX
CH32H416,PB8,7,yes,DEBUG.SWCLK;I2C1.SCL;I2C4.SCL;PIOC.IO0;TIM10.CH3;TIM4.CH3;USART6.RX
CH32H416,PB9,9,yes,DEBUG.SWDIO;I2C1.SDA;I2C4.SDA;I2C4.SMBA;PIOC.IO1;SPI2.NSS;TIM10.CH4;TIM4.CH4;USART6.TX
CH32H417,PB8,7,yes,DEBUG.SWCLK;I2C1.SCL;I2C4.SCL;PIOC.IO0;TIM10.CH3;TIM4.CH3;USART6.RX
CH32H417,PB9,9,yes,DEBUG.SWDIO;I2C1.SDA;I2C4.SDA;I2C4.SMBA;PIOC.IO1;SPI2.NSS;TIM10.CH4;TIM4.CH4;USART6.TX
CH32L103,PA13,5,yes,DEBUG.SWDIO;I2C1.SCL;TIM1.BKIN;TIM1.ETR;USART1.RTS
CH32L103,PA14,4,yes,DEBUG.SWCLK;TIM1.CH1N;TIM1.CH3;USART1.CTS
CH32M007,PB3,10,yes,CMP1.P1;DEBUG.SWCLK;I2C1.SCL;SPI1.MISO;TIM1.BKIN;TIM2.CH2;USART1.RX;USART1.TX;USART2.RTS;USART2.RX
CH32M007,PD1,10,yes,ADC1.IETR;DEBUG.SWDIO;I2C1.SCL;I2C1.SDA;OPA.P3;TIM1.CH3N;TIM1.CH4;USART1.RX;USART1.TX;USART2.RX
CH32M030,PA2,8,yes,ADC1.IN15;DEBUG.SWCLK;I2C1.SCL;SPI1.NSS;TIM3.CH1_ETR;USART1.CTS;USART1.RX;USART1.TX
CH32M030,PA3,7,yes,ADC1.IN16;CMP3.P0;DEBUG.SWDIO;I2C1.SDA;TIM2.CH1_ETR;USART1.RX;USART1.TX
CH32M103,PA13,5,yes,DEBUG.SWDIO;I2C1.SCL;TIM1.BKIN;TIM1.ETR;USART1.RTS
