series,pad,role,class,routes,parts_with_pad,parts_in_series,confidence
CH32H415,PA0,ADC1.IN0,analog,default,1,1,reference
CH32H415,PA0,OPA3.OUT0,analog,default,1,1,reference
CH32H415,PA0,PIOC.IO0,pioc,af-5,1,1,confirmed
CH32H415,PA0,TIM2.CH1_ETR,timer,af-1,1,1,confirmed
CH32H415,PA0,TIM5.CH1,timer,af-2,1,1,confirmed
CH32H415,PA0,TIM8.ETR,timer,af-3,1,1,confirmed
CH32H415,PA0,TIM9.CH1,timer,af-6,1,1,confirmed
CH32H415,PA0,USART2.CTS,uart,af-7,1,1,confirmed
CH32H415,PA0,USART6.TX,uart,af-8,1,1,confirmed
CH32H415,PA1,ADC1.IN1,analog,default,1,1,reference
CH32H415,PA1,TIM2.CH2,timer,af-1,1,1,confirmed
CH32H415,PA1,TIM5.CH2,timer,af-2,1,1,confirmed
CH32H415,PA1,TIM9.CH2,timer,af-6,1,1,confirmed
CH32H415,PA1,USART2.RTS,uart,af-7,1,1,confirmed
CH32H415,PA1,USART6.RX,uart,af-8,1,1,confirmed
CH32H415,PA10,TIM1.CH3,timer,af-1,1,1,confirmed
CH32H415,PA10,USART1.RX,uart,af-7,1,1,confirmed
CH32H415,PA10,USART6.CK,uart,af-6,1,1,confirmed
CH32H415,PA11,SPI2.NSS,spi,af-5,1,1,confirmed
CH32H415,PA11,TIM1.CH4,timer,af-1,1,1,confirmed
CH32H415,PA11,USART1.CTS,uart,af-7,1,1,confirmed
CH32H415,PA11,USART3.CK,uart,af-4,1,1,confirmed
CH32H415,PA11,USART6.RX,uart,af-6,1,1,confirmed
CH32H415,PA12,SPI2.SCK,spi,af-5,1,1,confirmed
CH32H415,PA12,TIM1.BKIN2,timer,af-12,1,1,confirmed
CH32H415,PA12,TIM1.ETR,timer,af-1,1,1,confirmed
CH32H415,PA12,USART1.RTS,uart,af-7,1,1,confirmed
CH32H415,PA12,USART3.RTS,uart,af-4,1,1,confirmed
CH32H415,PA12,USART6.TX,uart,af-6,1,1,confirmed
CH32H415,PA13,I2C3.SDA,i2c,af-7,1,1,confirmed
CH32H415,PA13,SPI3.MOSI,spi,af-1,1,1,confirmed
CH32H415,PA13,USART3.TX,uart,af-4,1,1,confirmed
CH32H415,PA14,I2C3.SCL,i2c,af-7,1,1,confirmed
CH32H415,PA14,SPI3.SCK,spi,af-1,1,1,confirmed
CH32H415,PA14,USART3.RX,uart,af-4,1,1,confirmed
CH32H415,PA14,USART8.CK,uart,af-11,1,1,confirmed
CH32H415,PA15,I2C3.SMBA,i2c,af-7,1,1,confirmed
CH32H415,PA15,SPI1.NSS,spi,af-5,1,1,confirmed
CH32H415,PA15,SPI3.NSS,spi,af-6,1,1,confirmed
CH32H415,PA15,TIM2.CH1_ETR,timer,af-1,1,1,confirmed
CH32H415,PA15,USART3.CTS,uart,af-4,1,1,confirmed
CH32H415,PA15,USART6.RTS,uart,af-8,1,1,confirmed
CH32H415,PA15,USART8.TX,uart,af-11,1,1,confirmed
CH32H415,PA2,ADC1.IN2,analog,default,1,1,reference
CH32H415,PA2,OPA3.P1,analog,default,1,1,reference
CH32H415,PA2,TIM2.CH3,timer,af-1,1,1,confirmed
CH32H415,PA2,TIM5.CH3,timer,af-2,1,1,confirmed
CH32H415,PA2,TIM9.CH3,timer,af-4,1,1,confirmed
CH32H415,PA2,USART2.TX,uart,af-7,1,1,confirmed
CH32H415,PA2,USART6.CK,uart,af-3,1,1,confirmed
CH32H415,PA3,ADC1.IN3,analog,default,1,1,reference
CH32H415,PA3,OPA3.N1,analog,default,1,1,reference
CH32H415,PA3,TIM10.CH3,timer,af-8,1,1,confirmed
CH32H415,PA3,TIM2.CH4,timer,af-1,1,1,confirmed
CH32H415,PA3,TIM5.CH4,timer,af-2,1,1,confirmed
CH32H415,PA3,TIM9.CH4,timer,af-4,1,1,confirmed
CH32H415,PA3,USART2.RX,uart,af-7,1,1,confirmed
CH32H415,PA4,ADC1.IN4,analog,default,1,1,reference
CH32H415,PA4,DAC1.OUT,analog,default,1,1,reference
CH32H415,PA4,OPA3.OUT1,analog,default,1,1,reference
CH32H415,PA4,SPI1.NSS,spi,af-5,1,1,confirmed
CH32H415,PA4,SPI3.NSS,spi,af-6,1,1,confirmed
CH32H415,PA4,TIM10.CH4,timer,af-9,1,1,confirmed
CH32H415,PA4,TIM5.ETR,timer,af-2,1,1,confirmed
CH32H415,PA4,TIM9.ETR,timer,af-4,1,1,confirmed
CH32H415,PA4,USART2.CK,uart,af-7,1,1,confirmed
CH32H415,PA5,ADC1.IN5,analog,default,1,1,reference
CH32H415,PA5,DAC2.OUT,analog,default,1,1,reference
CH32H415,PA5,OPA1.OUT1,analog,default,1,1,reference
CH32H415,PA5,SPI1.SCK,spi,af-5,1,1,confirmed
CH32H415,PA5,TIM1.BKIN2,timer,af-2,1,1,confirmed
CH32H415,PA5,TIM10.ETR,timer,af-9,1,1,confirmed
CH32H415,PA5,TIM2.CH1_ETR,timer,af-1,1,1,confirmed
CH32H415,PA5,TIM8.CH1N,timer,af-3,1,1,confirmed
CH32H415,PA6,ADC1.IN6,analog,default,1,1,reference
CH32H415,PA6,CMP.OUT,analog,af-10,1,1,confirmed
CH32H415,PA6,OPA1.P1,analog,default,1,1,reference
CH32H415,PA6,SPI1.MISO,spi,af-5,1,1,confirmed
CH32H415,PA6,TIM1.BKIN,timer,af-1,1,1,confirmed
CH32H415,PA6,TIM10.CH1,timer,af-9,1,1,confirmed
CH32H415,PA6,TIM3.CH1,timer,af-2,1,1,confirmed
CH32H415,PA6,TIM8.BKIN,timer,af-3,1,1,confirmed
CH32H415,PA7,ADC1.IN7,analog,default,1,1,reference
CH32H415,PA7,OPA1.N1,analog,default,1,1,reference
CH32H415,PA7,SPI1.MOSI,spi,af-5,1,1,confirmed
CH32H415,PA7,TIM1.CH1N,timer,af-1,1,1,confirmed
CH32H415,PA7,TIM10.CH2,timer,af-9,1,1,confirmed
CH32H415,PA7,TIM3.CH2,timer,af-2,1,1,confirmed
CH32H415,PA7,TIM8.CH1N,timer,af-3,1,1,confirmed
CH32H415,PA9,I2C3.SMBA,i2c,af-4,1,1,confirmed
CH32H415,PA9,SPI2.SCK,spi,af-5,1,1,confirmed
CH32H415,PA9,TIM1.CH2,timer,af-1,1,1,confirmed
CH32H415,PA9,USART1.TX,uart,af-7,1,1,confirmed
CH32H415,PB0,ADC1.IN8,analog,default,1,1,reference
CH32H415,PB0,CMP.P0,analog,default,1,1,reference
CH32H415,PB0,OPA1.P0,analog,default,1,1,reference
CH32H415,PB0,RCC.MCO,clock,af-0,1,1,confirmed
CH32H415,PB0,TIM1.CH2N,timer,af-1,1,1,confirmed
CH32H415,PB0,TIM12.ETR,timer,af-13,1,1,confirmed
CH32H415,PB0,TIM3.CH3,timer,af-2,1,1,confirmed
CH32H415,PB0,TIM5.CH4,timer,af-4,1,1,confirmed
CH32H415,PB0,TIM8.CH2N,timer,af-3,1,1,confirmed
CH32H415,PB0,USART6.CTS,uart,af-8,1,1,confirmed
CH32H415,PB1,ADC1.IN9,analog,default,1,1,reference
CH32H415,PB1,CMP.N0,analog,default,1,1,reference
CH32H415,PB1,OPA1.N0,analog,default,1,1,reference
CH32H415,PB1,TIM1.CH3N,timer,af-1,1,1,confirmed
CH32H415,PB1,TIM12.CH1,timer,af-5,1,1,confirmed
CH32H415,PB1,TIM3.CH4,timer,af-2,1,1,confirmed
CH32H415,PB1,TIM8.CH3N,timer,af-3,1,1,confirmed
CH32H415,PB10,I2C2.SCL,i2c,af-4,1,1,reference
CH32H415,PB10,SPI2.SCK,spi,af-5,1,1,reference
CH32H415,PB10,TIM2.CH3,timer,af-1,1,1,reference
CH32H415,PB10,TIM9.CH2,timer,af-2,1,1,reference
CH32H415,PB10,USART3.TX,uart,af-7,1,1,reference
CH32H415,PB10,USART6.CK,uart,af-9,1,1,reference
CH32H415,PB11,I2C2.SDA,i2c,af-4,1,1,confirmed
CH32H415,PB11,TIM2.CH4,timer,af-1,1,1,confirmed
CH32H415,PB11,TIM9.CH4,timer,af-9,1,1,confirmed
CH32H415,PB11,USART3.RX,uart,af-7,1,1,confirmed
CH32H415,PB12,CMP.OUT,analog,af-13,1,1,confirmed
CH32H415,PB12,I2C2.SMBA,i2c,af-4,1,1,confirmed
CH32H415,PB12,SPI2.NSS,spi,af-5,1,1,confirmed
CH32H415,PB12,TIM1.BKIN,timer,af-1,1,1,confirmed
CH32H415,PB12,TIM8.BKIN,timer,af-2,1,1,confirmed
CH32H415,PB12,TIM9.CH3,timer,af-8,1,1,confirmed
CH32H415,PB12,USART3.CK,uart,af-7,1,1,confirmed
CH32H415,PB12,USART7.RX,uart,af-14,1,1,confirmed
CH32H415,PB13,SPI2.SCK,spi,af-5,1,1,confirmed
CH32H415,PB13,TIM1.CH1N,timer,af-1,1,1,confirmed
CH32H415,PB13,TIM8.BKIN2,timer,af-2,1,1,confirmed
CH32H415,PB13,TIM9.ETR,timer,af-4,1,1,confirmed
CH32H415,PB13,USART3.CTS,uart,af-7,1,1,confirmed
CH32H415,PB13,USART7.TX,uart,af-14,1,1,confirmed
CH32H415,PB14,SPI2.MISO,spi,af-5,1,1,confirmed
CH32H415,PB14,TIM1.CH2N,timer,af-1,1,1,confirmed
CH32H415,PB14,TIM8.CH2N,timer,af-3,1,1,confirmed
CH32H415,PB14,TIM9.CH1,timer,af-2,1,1,confirmed
CH32H415,PB14,USART1.TX,uart,af-4,1,1,confirmed
CH32H415,PB14,USART3.RTS,uart,af-7,1,1,confirmed
CH32H415,PB14,USART6.RTS,uart,af-8,1,1,confirmed
CH32H415,PB14,USART7.CK,uart,af-13,1,1,confirmed
CH32H415,PB15,SPI2.MOSI,spi,af-5,1,1,confirmed
